Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,292.92,,17.01
2024-12-31,290.04,$17.22,16.84
2024-09-30,295.94,$17.18,17.23
2024-06-30,254.67,$11.54,22.07
2024-03-31,239.1,$11.08,21.58
2023-12-31,268.25,$10.48,25.6
2023-09-30,275.9,$10.32,26.73
2023-06-30,289.81,$9.83,29.48
2023-03-31,276.27,$9.78,28.25
2022-12-31,294.73,$10.19,28.92
2022-09-30,221.35,$10.14,21.83
2022-06-30,227.14,$10.26,22.14
2022-03-31,234.47,$10.04,23.35
2021-12-31,283.62,$9.79,28.97
2021-09-30,237.57,$9.44,25.17
2021-06-30,265.3,$8.89,29.84
2021-03-31,258.1,$8.50,30.37
2020-12-31,249.32,$8.52,29.26
2020-09-30,270.48,$8.49,31.86
2020-06-30,218.28,$8.57,25.47
2020-03-31,179.46,$8.76,20.49
2019-12-31,209.85,$8.51,24.66
2019-09-30,197.16,$7.94,24.83
2019-06-30,200.12,$7.72,25.92
2019-03-31,167.95,$7.67,21.9
2018-12-31,139.92,$7.66,18.27
2018-09-30,146.04,$6.79,21.51
2018-06-30,135.25,$6.87,19.69
2018-03-31,137.15,$5.18,26.48
2017-12-31,140.53,$12.99,10.82
2017-09-30,127.98,$13.66,9.37
2017-06-30,121.07,$13.33,9.08
2017-03-31,113.73,$14.46,7.87
2016-12-31,120.06,$2.59,46.36
2016-09-30,114.77,$2.89,39.71
2016-06-30,108.44,$2.67,40.61
2016-03-31,109.3,$2.55,42.86
2015-12-31,98.14,$6.05,16.22
2015-09-30,95.64,$5.88,16.27
2015-06-30,101.92,$4.78,21.32
2015-03-31,112.02,$4.77,23.49
2014-12-31,106.24,$4.76,22.32
2014-09-30,95.39,$4.61,20.69
2014-06-30,93.71,$4.77,19.65
2014-03-31,86.21,$4.67,18.46
2013-12-31,80.43,$4.73,17.0
2013-09-30,76.2,$4.69,16.25
2013-06-30,65.04,$4.70,13.84
2013-03-31,61.41,$5.60,10.97
2012-12-31,58.74,$5.60,10.49
2012-09-30,57.38,$5.45,10.53
2012-06-30,55.58,$6.31,8.81
2012-03-31,62.69,$5.55,11.29
2011-12-31,57.77,$5.56,10.39
2011-09-30,51.44,$5.63,9.14
2011-06-30,63.91,$5.37,11.9
2011-03-31,59.93,$5.04,11.89
2010-12-31,60.05,$4.81,12.48
2010-09-30,54.39,$4.74,11.48
2010-06-30,42.31,$4.62,9.16
2010-03-31,47.92,$3.98,12.04
2009-12-31,52.18,$3.79,13.77
