First Bancorp (ME) PE Ratio Historical Data,First Bancorp (ME) PE Ratio Historical Data,First Bancorp (ME) PE Ratio Historical Data,First Bancorp (ME) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.95,,10.31
2024-12-31,27.35,$2.42,11.3
2024-09-30,25.95,$2.37,10.95
2024-06-30,24.14,$2.36,10.23
2024-03-31,23.59,$2.48,9.51
2023-12-31,26.68,$2.66,10.03
2023-09-30,21.9,$2.89,7.58
2023-06-30,22.36,$3.13,7.15
2023-03-31,23.47,$3.37,6.96
2022-12-31,26.84,$3.53,7.6
2022-09-30,24.41,$3.57,6.84
2022-06-30,26.39,$3.48,7.58
2022-03-31,26.06,$3.37,7.73
2021-12-31,26.95,$3.30,8.17
2021-09-30,24.74,$3.07,8.06
2021-06-30,24.73,$2.90,8.53
2021-03-31,24.26,$2.70,8.98
2020-12-31,20.85,$2.49,8.37
2020-09-30,17.06,$2.46,6.94
2020-06-30,17.31,$2.39,7.24
2020-03-31,17.33,$2.38,7.28
2019-12-31,23.58,$2.35,10.03
2019-09-30,21.21,$2.33,9.1
2019-06-30,20.48,$2.30,8.9
2019-03-31,18.8,$2.24,8.39
2018-12-31,19.41,$2.18,8.9
2018-09-30,21.17,$2.06,10.28
2018-06-30,20.42,$1.97,10.37
2018-03-31,20.08,$1.89,10.62
2017-12-31,19.37,$1.81,10.7
2017-09-30,21.39,$1.74,12.29
2017-06-30,18.93,$1.70,11.13
2017-03-31,18.9,$1.68,11.25
2016-12-31,22.71,$1.67,13.6
2016-09-30,16.28,$1.62,10.05
2016-06-30,14.48,$1.59,9.1
2016-03-31,12.96,$1.54,8.42
2015-12-31,13.45,$1.51,8.91
2015-09-30,12.41,$1.48,8.38
2015-06-30,12.49,$1.47,8.49
2015-03-31,11.08,$1.44,7.69
2014-12-31,11.48,$1.37,8.38
2014-09-30,10.33,$1.38,7.49
2014-06-30,10.69,$1.31,8.16
2014-03-31,9.86,$1.25,7.89
2013-12-31,10.42,$1.20,8.68
2013-09-30,9.84,$1.19,8.27
2013-06-30,10.22,$1.19,8.59
2013-03-31,10.41,$1.22,8.53
2012-12-31,9.41,$1.23,7.65
2012-09-30,9.92,$1.20,8.27
2012-06-30,9.5,$1.16,8.19
2012-03-31,8.18,$1.13,7.24
2011-12-31,8.38,$1.14,7.35
2011-09-30,6.75,$1.13,5.97
2011-06-30,7.86,$1.15,6.84
2011-03-31,7.97,$1.15,6.93
2010-12-31,8.15,$1.10,7.41
2010-09-30,7.04,$1.06,6.64
2010-06-30,6.58,$1.03,6.39
2010-03-31,7.99,$1.46,5.47
2009-12-31,7.54,$1.59,4.74
