Newell Brands PE Ratio Historical Data,Newell Brands PE Ratio Historical Data,Newell Brands PE Ratio Historical Data,Newell Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.54,,0.0
2024-12-31,9.96,$-0.52,0.0
2024-09-30,7.62,$-0.60,0.0
2024-06-30,6.3,$-0.65,0.0
2024-03-31,7.82,$-0.72,0.0
2023-12-31,8.38,$-0.95,0.0
2023-09-30,8.63,$-1.34,0.0
2023-06-30,8.26,$-0.74,0.0
2023-03-31,11.72,$-0.29,0.0
2022-12-31,12.13,$0.51,23.79
2022-09-30,12.66,$1.33,9.52
2022-06-30,17.14,$1.70,10.08
2022-03-31,19.07,$1.67,11.42
2021-12-31,19.27,$1.33,14.49
2021-09-30,19.34,$1.41,13.71
2021-06-30,23.78,$1.68,14.15
2021-03-31,22.99,$1.40,16.42
2020-12-31,18.05,$-1.83,0.0
2020-09-30,14.43,$-0.26,0.0
2020-06-30,13.17,$-2.45,0.0
2020-03-31,10.83,$-2.42,0.0
2019-12-31,15.44,$0.24,64.34
2019-09-30,14.86,$-1.17,0.0
2019-06-30,12.07,$-14.79,0.0
2019-03-31,11.81,$-14.73,0.0
2018-12-31,14.11,$-14.26,0.0
2018-09-30,15.41,$-11.34,0.0
2018-06-30,19.37,$4.24,4.57
2018-03-31,18.96,$4.43,4.28
2017-12-31,22.8,$5.63,4.05
2017-09-30,31.25,$2.59,12.07
2017-06-30,39.08,$2.49,15.7
2017-03-31,34.23,$2.33,14.69
2016-12-31,32.28,$1.17,27.59
2016-09-30,37.92,$0.88,43.09
2016-06-30,34.85,$1.00,34.85
2016-03-31,31.65,$1.25,25.32
2015-12-31,31.35,$1.30,24.11
2015-09-30,28.12,$1.44,19.53
2015-06-30,28.98,$1.38,21.0
2015-03-31,27.41,$1.37,20.01
2014-12-31,26.59,$1.36,19.55
2014-09-30,23.91,$1.58,15.13
2014-06-30,21.43,$1.80,11.9
2014-03-31,20.55,$1.63,12.61
2013-12-31,22.17,$1.63,13.6
2013-09-30,18.72,$1.57,11.92
2013-06-30,17.76,$1.28,13.88
2013-03-31,17.56,$1.29,13.62
2012-12-31,14.89,$1.37,10.87
2012-09-30,12.67,$1.29,9.83
2012-06-30,11.98,$0.31,38.63
2012-03-31,11.7,$0.42,27.85
2011-12-31,10.56,$0.40,26.4
2011-09-30,7.72,$0.38,20.31
2011-06-30,10.2,$1.08,9.45
2011-03-31,12.31,$1.00,12.31
2010-12-31,11.67,$0.94,12.42
2010-09-30,11.4,$0.89,12.81
2010-06-30,9.34,$1.08,8.65
2010-03-31,9.67,$1.04,9.3
2009-12-31,9.51,$0.97,9.81
