MKS Instruments PE Ratio Historical Data,MKS Instruments PE Ratio Historical Data,MKS Instruments PE Ratio Historical Data,MKS Instruments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.57,,32.35
2024-12-31,104.39,$2.80,37.28
2024-09-30,108.51,$0.45,241.12
2024-06-30,130.09,$0.11,1182.65
2024-03-31,132.28,$-26.69,0.0
2023-12-31,102.13,$-27.55,0.0
2023-09-30,85.67,$-25.72,0.0
2023-06-30,106.77,$-26.21,0.0
2023-03-31,87.34,$2.58,33.85
2022-12-31,83.3,$5.79,14.39
2022-09-30,81.03,$7.67,10.56
2022-06-30,100.44,$9.96,10.08
2022-03-31,146.54,$10.27,14.27
2021-12-31,169.9,$9.90,17.16
2021-09-30,147.0,$9.29,15.82
2021-06-30,173.09,$8.57,20.2
2021-03-31,180.14,$7.27,24.78
2020-12-31,146.0,$6.32,23.1
2020-09-30,105.84,$5.01,21.13
2020-06-30,109.54,$4.21,26.02
2020-03-31,78.63,$3.57,22.03
2019-12-31,106.01,$2.55,41.57
2019-09-30,88.76,$3.10,28.63
2019-06-30,74.72,$3.94,18.96
2019-03-31,89.02,$5.47,16.27
2018-12-31,61.66,$7.14,8.64
2018-09-30,76.29,$7.23,10.55
2018-06-30,90.89,$6.91,13.15
2018-03-31,109.64,$6.88,15.94
2017-12-31,89.45,$6.16,14.52
2017-09-30,89.25,$5.58,15.99
2017-06-30,63.46,$4.80,13.22
2017-03-31,64.68,$2.78,23.27
2016-12-31,55.74,$1.93,28.88
2016-09-30,46.53,$1.58,29.45
2016-06-30,40.15,$1.54,26.07
2016-03-31,34.95,$1.99,17.56
2015-12-31,33.25,$2.29,14.52
2015-09-30,30.82,$2.45,12.58
2015-06-30,34.7,$2.44,14.22
2015-03-31,30.78,$2.22,13.87
2014-12-31,33.17,$2.17,15.29
2014-09-30,30.12,$1.91,15.77
2014-06-30,28.05,$1.41,19.89
2014-03-31,26.69,$1.15,23.21
2013-12-31,26.57,$0.68,39.08
2013-09-30,23.49,$0.38,61.81
2013-06-30,23.29,$0.38,61.3
2013-03-31,23.74,$0.59,40.24
2012-12-31,22.37,$0.91,24.58
2012-09-30,21.97,$1.26,17.44
2012-06-30,24.73,$1.78,13.89
2012-03-31,25.16,$2.16,11.65
2011-12-31,23.59,$2.46,9.59
2011-09-30,18.3,$2.73,6.7
2011-06-30,22.12,$2.92,7.58
2011-03-31,27.72,$2.95,9.4
2010-12-31,20.29,$2.80,7.25
2010-09-30,14.89,$2.40,6.21
2010-06-30,15.51,$1.56,9.94
2010-03-31,16.23,$-3.40,0.0
2009-12-31,14.41,$-4.32,0.0
