FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,430.93,,41.84
2025-02-28,461.74,$10.30,44.83
2024-11-30,490.67,$13.95,35.17
2024-08-31,421.95,$13.90,30.36
2024-05-31,402.42,$13.26,30.35
2024-02-29,460.47,$12.63,36.46
2023-11-30,450.44,$12.36,36.44
2023-08-31,432.57,$12.04,35.93
2023-05-31,380.65,$13.05,29.17
2023-02-28,408.95,$11.52,35.5
2022-11-30,454.1,$10.98,41.36
2022-08-31,425.74,$10.25,41.54
2022-05-31,374.33,$10.19,36.73
2022-02-28,397.25,$10.88,36.51
2021-11-30,457.45,$10.54,43.4
2021-08-31,370.55,$10.37,35.73
2021-05-31,325.15,$10.03,32.42
2021-02-28,294.81,$10.04,29.36
2020-11-30,322.93,$9.84,32.82
2020-08-31,338.22,$9.65,35.05
2020-05-31,296.17,$9.70,30.53
2020-02-29,255.53,$9.44,27.07
2019-11-30,248.8,$9.33,26.67
2019-08-31,260.01,$9.07,28.67
2019-05-31,265.14,$8.50,31.19
2019-02-28,223.55,$8.04,27.8
2018-11-30,222.3,$7.18,30.96
2018-08-31,217.46,$6.78,32.07
2018-05-31,190.02,$6.53,29.1
2018-02-28,191.46,$6.28,30.49
2017-11-30,187.84,$6.63,28.33
2017-08-31,147.3,$6.52,22.59
2017-05-31,154.71,$8.55,18.1
2017-02-28,165.54,$8.51,19.45
2016-11-30,148.64,$8.46,17.57
2016-08-31,164.7,$8.23,20.01
2016-05-31,146.75,$6.16,23.82
2016-02-29,138.39,$5.99,23.1
2015-11-30,155.45,$5.82,26.71
2015-08-31,144.43,$5.71,25.29
2015-05-31,150.64,$5.54,27.19
2015-02-28,141.49,$5.30,26.7
2014-11-30,124.37,$5.06,24.58
2014-08-31,115.27,$4.93,23.38
2014-05-31,96.65,$4.78,20.22
2014-02-28,94.63,$4.77,19.84
2013-11-30,101.22,$4.55,22.25
2013-08-31,91.4,$4.47,20.45
2013-05-31,87.39,$4.39,19.91
2013-02-28,86.28,$4.24,20.35
2012-11-30,81.68,$4.26,19.17
2012-08-31,81.3,$4.14,19.64
2012-05-31,92.58,$3.94,23.5
2012-02-29,76.53,$3.81,20.09
2011-11-30,81.39,$3.74,21.76
2011-08-31,76.51,$3.63,21.08
2011-05-31,96.19,$3.58,26.87
2011-02-28,90.78,$3.47,26.16
2010-11-30,76.57,$3.27,23.42
2010-08-31,63.35,$3.13,20.24
2010-05-31,58.44,$3.04,19.22
2010-02-28,56.65,$3.02,18.76
2009-11-30,61.73,$2.98,20.71
