C3is PE Ratio Historical Data,C3is PE Ratio Historical Data,C3is PE Ratio Historical Data,C3is PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.71,,0.01
2024-09-30,1.14,$58.20,0.02
2024-06-30,1.39,$95.68,0.01
2024-03-31,0.03,$75.28,0.0
