Recon Technology PE Ratio Historical Data,Recon Technology PE Ratio Historical Data,Recon Technology PE Ratio Historical Data,Recon Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.64,,0.0
2023-12-31,0.23,$-40.47,0.0
2018-06-30,6.9,$-53.96,0.0
2018-03-31,5.9,$-51.26,0.0
2017-12-31,6.5,$-53.96,0.0
2017-09-30,5.25,$-82.73,0.0
2017-03-31,6.4,$-92.63,0.0
2016-09-30,5.55,$-88.13,0.0
2016-06-30,5.65,$-98.92,0.0
2016-03-31,6.7,$-147.48,0.0
2015-12-31,6.9,$-128.60,0.0
2015-09-30,4.3,$-106.11,0.0
2015-06-30,7.5,$-95.32,0.0
2015-03-31,9.0,$-11.69,0.0
2014-12-31,9.85,$-13.49,0.0
2014-09-30,23.85,$-8.99,0.0
2014-06-30,20.7,$3.60,5.75
2014-03-31,23.3,$8.09,2.88
2013-12-31,15.4,$9.89,1.56
2013-09-30,11.07,$8.09,1.37
2013-06-30,9.4,$0.00,0.0
2013-03-31,9.05,$0.00,0.0
2012-12-31,7.0,$4.50,1.56
2012-09-30,8.05,$-8.99,0.0
2012-06-30,9.2,$-0.90,0.0
2012-03-31,10.89,$5.40,2.02
2011-12-31,1.51,$-19.78,0.0
2011-09-30,4.25,$-4.50,0.0
2011-06-30,11.95,$-1.80,0.0
2011-03-31,19.05,$6.29,3.03
2010-12-31,23.25,$46.76,0.5
2010-09-30,27.0,$66.55,0.41
2010-06-30,24.25,$65.65,0.37
