Thomson Reuters Corp PE Ratio Historical Data,Thomson Reuters Corp PE Ratio Historical Data,Thomson Reuters Corp PE Ratio Historical Data,Thomson Reuters Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,170.09,,34.78
2024-12-31,160.38,$4.89,32.8
2024-09-30,170.03,$5.08,33.47
2024-06-30,167.46,$5.21,32.14
2024-03-31,154.31,$5.25,29.39
2023-12-31,144.3,$5.84,24.71
2023-09-30,120.27,$4.96,24.24
2023-06-30,132.18,$4.65,28.43
2023-03-31,131.71,$2.50,52.68
2022-12-31,115.0,$2.99,38.49
2022-09-30,103.05,$2.00,51.47
2022-06-30,104.24,$1.01,103.6
2022-03-31,108.38,$3.49,31.09
2021-12-31,118.57,$11.86,10.0
2021-09-30,109.14,$13.40,8.14
2021-06-30,97.76,$14.41,6.79
2021-03-31,85.83,$12.44,6.9
2020-12-31,79.88,$2.33,34.23
2020-09-30,77.45,$3.90,19.86
2020-06-30,65.66,$3.31,19.84
2020-03-31,65.19,$3.43,18.99
2019-12-31,68.44,$3.27,20.94
2019-09-30,63.61,$6.94,9.17
2019-06-30,60.98,$7.46,8.18
2019-03-31,55.7,$8.08,6.9
2018-12-31,45.15,$7.29,6.19
2018-09-30,46.68,$1.81,25.86
2018-06-30,40.87,$1.91,21.42
2018-03-31,38.83,$1.21,32.06
2017-12-31,43.42,$2.23,19.49
2017-09-30,45.35,$4.76,9.52
2017-06-30,45.41,$4.65,9.77
2017-03-31,42.08,$4.86,8.67
2016-12-31,42.29,$4.78,8.85
2016-09-30,39.64,$1.92,20.65
2016-06-30,38.41,$1.92,20.01
2016-03-31,38.14,$1.78,21.4
2015-12-31,35.33,$1.83,19.33
2015-09-30,37.27,$2.86,13.05
2015-06-30,34.95,$2.78,12.59
2015-03-31,36.93,$2.75,13.41
2014-12-31,36.42,$2.71,13.45
2014-09-30,32.59,$0.58,55.92
2014-06-30,32.26,$0.63,51.33
2014-03-31,30.06,$0.62,48.71
2013-12-31,32.92,$0.18,180.02
2013-09-30,30.22,$1.19,25.43
2013-06-30,27.84,$1.45,19.19
2013-03-31,27.5,$2.38,11.57
2012-12-31,24.34,$2.86,8.52
2012-09-30,23.89,$-1.21,0.0
2012-06-30,23.3,$-1.35,0.0
2012-03-31,23.4,$-1.85,0.0
2011-12-31,21.34,$-1.94,0.0
2011-09-30,21.4,$1.92,11.15
2011-06-30,29.44,$1.78,16.52
2011-03-31,30.51,$1.42,21.54
2010-12-31,28.76,$1.25,23.09
2010-09-30,28.73,$1.18,24.41
2010-06-30,27.21,$1.03,26.46
2010-03-31,27.35,$1.06,25.74
2009-12-31,24.1,$1.20,20.09
