Infobird PE Ratio Historical Data,Infobird PE Ratio Historical Data,Infobird PE Ratio Historical Data,Infobird PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.63,,inf
2024-06-30,3.05,0.0,0.0
2023-12-31,1.31,0.0,0.0
2023-06-30,1.23,0.0,0.0
