Nabors Industries PE Ratio Historical Data,Nabors Industries PE Ratio Historical Data,Nabors Industries PE Ratio Historical Data,Nabors Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.78,,0.0
2024-12-31,57.17,$-22.36,0.0
2024-09-30,64.47,$-18.39,0.0
2024-06-30,71.16,$-17.79,0.0
2024-03-31,86.13,$-13.81,0.0
2023-12-31,81.63,$-5.16,0.0
2023-09-30,123.14,$-10.33,0.0
2023-06-30,93.03,$-5.87,0.0
2023-03-31,121.91,$-14.97,0.0
2022-12-31,154.87,$-41.59,0.0
2022-09-30,101.45,$-48.32,0.0
2022-06-30,133.9,$-62.31,0.0
2022-03-31,152.72,$-79.49,0.0
2021-12-31,81.09,$-77.14,0.0
2021-09-30,96.48,$-78.99,0.0
2021-06-30,114.24,$-86.62,0.0
2021-03-31,93.45,$-82.16,0.0
2020-12-31,58.23,$-118.73,0.0
2020-09-30,24.44,$-140.78,0.0
2020-06-30,37.02,$-135.86,0.0
2020-03-31,19.51,$-144.23,0.0
2019-12-31,140.46,$-105.50,0.0
2019-09-30,90.84,$-94.50,0.0
2019-06-30,140.28,$-93.50,0.0
2019-03-31,165.71,$-93.50,0.0
2018-12-31,96.05,$-98.50,0.0
2018-09-30,289.73,$-91.00,0.0
2018-06-30,298.39,$-99.50,0.0
2018-03-31,322.73,$-92.00,0.0
2017-12-31,312.75,$-95.00,0.0
2017-09-30,365.87,$-134.00,0.0
2017-06-30,365.76,$-127.50,0.0
2017-03-31,583.23,$-137.00,0.0
2016-12-31,728.57,$-181.50,0.0
2016-09-30,538.27,$-151.50,0.0
2016-06-30,442.28,$-183.00,0.0
2016-03-31,402.63,$-157.00,0.0
2015-12-31,369.68,$-65.50,0.0
2015-09-30,407.76,$-190.50,0.0
2015-06-30,618.97,$-122.00,0.0
2015-03-31,583.18,$-105.00,0.0
2014-12-31,551.95,$-118.00,0.0
2014-09-30,962.69,$61.00,15.78
2014-06-30,1239.34,$26.00,47.67
2014-03-31,1038.61,$15.00,69.24
2013-12-31,714.63,$23.50,30.41
2013-09-30,673.8,$3.00,224.6
2013-06-30,640.69,$33.50,19.13
2013-03-31,677.1,$21.50,31.49
2012-12-31,601.76,$28.00,21.49
2012-09-30,584.27,$5.50,106.23
2012-06-30,599.67,$5.00,119.93
2012-03-31,728.35,$50.00,14.57
2011-12-31,722.11,$41.00,17.61
2011-09-30,510.56,$67.50,7.56
2011-06-30,1026.11,$48.00,21.38
2011-03-31,1265.15,$23.00,55.01
2010-12-31,976.97,$16.00,61.06
2010-09-30,752.09,$-1.00,0.0
2010-06-30,733.77,$11.00,66.71
2010-03-31,817.47,$-30.50,0.0
2009-12-31,911.59,$-15.50,0.0
