Genuine Parts PE Ratio Historical Data,Genuine Parts PE Ratio Historical Data,Genuine Parts PE Ratio Historical Data,Genuine Parts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.74,,18.66
2024-12-31,116.76,$6.47,18.05
2024-09-30,138.56,$7.77,17.83
2024-06-30,136.19,$8.64,15.76
2024-03-31,152.55,$8.97,17.01
2023-12-31,135.46,$9.33,14.52
2023-09-30,140.21,$8.84,15.86
2023-06-30,163.32,$8.55,19.1
2023-03-31,160.44,$8.73,18.38
2022-12-31,165.47,$8.31,19.91
2022-09-30,141.71,$8.33,17.01
2022-06-30,125.51,$7.72,16.26
2022-03-31,118.15,$6.46,18.29
2021-12-31,130.5,$6.24,20.91
2021-09-30,112.14,$5.63,19.92
2021-06-30,116.21,$5.61,20.72
2021-03-31,105.55,$0.34,310.44
2020-12-31,91.02,$-0.22,0.0
2020-09-30,85.55,$-1.34,0.0
2020-06-30,77.54,$-1.35,0.0
2020-03-31,59.52,$4.09,14.55
2019-12-31,93.04,$4.24,21.94
2019-09-30,86.59,$5.45,15.89
2019-06-30,89.33,$5.38,16.6
2019-03-31,95.89,$5.39,17.79
2018-12-31,81.6,$5.50,14.84
2018-09-30,83.88,$4.96,16.91
2018-06-30,76.91,$4.55,16.9
2018-03-31,74.71,$4.30,17.37
2017-12-31,78.38,$4.18,18.75
2017-09-30,78.35,$4.47,17.53
2017-06-30,75.38,$4.63,16.28
2017-03-31,74.54,$4.62,16.14
2016-12-31,76.51,$4.59,16.67
2016-09-30,79.92,$4.64,17.22
2016-06-30,80.03,$4.64,17.25
2016-03-31,78.01,$4.64,16.81
2015-12-31,66.96,$4.64,14.43
2015-09-30,64.18,$4.64,13.83
2015-06-30,68.8,$4.64,14.83
2015-03-31,71.13,$4.64,15.33
2014-12-31,80.81,$4.61,17.53
2014-09-30,66.14,$4.51,14.67
2014-06-30,65.78,$4.39,14.98
2014-03-31,64.63,$4.50,14.36
2013-12-31,61.51,$4.41,13.95
2013-09-30,59.41,$4.47,13.29
2013-06-30,56.94,$4.46,12.77
2013-03-31,56.49,$4.15,13.61
2012-12-31,45.71,$4.15,11.01
2012-09-30,43.54,$3.98,10.94
2012-06-30,42.64,$3.84,11.1
2012-03-31,44.05,$3.72,11.84
2011-12-31,42.62,$3.59,11.87
2011-09-30,35.11,$3.48,10.09
2011-06-30,37.29,$3.34,11.16
2011-03-31,36.44,$3.16,11.53
2010-12-31,34.59,$2.99,11.57
2010-09-30,29.8,$2.86,10.42
2010-06-30,26.11,$2.70,9.67
2010-03-31,27.67,$2.57,10.77
2009-12-31,24.61,$2.50,9.85
