Arbutus Biopharma PE Ratio Historical Data,Arbutus Biopharma PE Ratio Historical Data,Arbutus Biopharma PE Ratio Historical Data,Arbutus Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.31,,0.0
2024-09-30,3.85,$-0.43,0.0
2024-06-30,3.09,$-0.45,0.0
2024-03-31,2.58,$-0.44,0.0
2023-12-31,2.5,$-0.44,0.0
2023-09-30,2.03,$-0.46,0.0
2023-06-30,2.3,$-0.46,0.0
2023-03-31,3.03,$-0.46,0.0
2022-12-31,2.33,$-0.47,0.0
2022-09-30,1.91,$-0.48,0.0
2022-06-30,2.71,$-0.60,0.0
2022-03-31,2.98,$-0.73,0.0
2021-12-31,3.89,$-0.83,0.0
2021-09-30,4.29,$-0.91,0.0
2021-06-30,3.03,$-0.94,0.0
2021-03-31,3.33,$-0.96,0.0
2020-12-31,3.55,$-1.00,0.0
2020-09-30,3.13,$-1.23,0.0
2020-06-30,1.82,$-2.46,0.0
2020-03-31,1.01,$-2.67,0.0
2019-12-31,2.78,$-2.89,0.0
2019-09-30,1.53,$-2.80,0.0
2019-06-30,2.08,$-1.79,0.0
2019-03-31,3.58,$-1.32,0.0
2018-12-31,3.83,$-1.21,0.0
2018-09-30,9.45,$-1.51,0.0
2018-06-30,7.3,$-1.23,0.0
2018-03-31,5.0,$-1.57,0.0
2017-12-31,5.05,$-1.55,0.0
2017-09-30,6.2,$-4.97,0.0
2017-06-30,3.6,$-5.13,0.0
2017-03-31,3.25,$-7.27,0.0
2016-12-31,2.45,$-7.24,0.0
2016-09-30,3.44,$-3.21,0.0
2016-06-30,3.48,$-3.41,0.0
