Permian Basin Royalty Trust PE Ratio Historical Data,Permian Basin Royalty Trust PE Ratio Historical Data,Permian Basin Royalty Trust PE Ratio Historical Data,Permian Basin Royalty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.16,,21.62
2024-12-31,11.08,$0.47,23.57
2024-09-30,11.84,$0.78,15.18
2024-06-30,11.04,$0.68,16.24
2024-03-31,11.71,$0.62,18.88
2023-12-31,13.38,$0.60,22.31
2023-09-30,19.99,$0.62,32.25
2023-06-30,23.38,$1.13,20.69
2023-03-31,22.77,$1.17,19.46
2022-12-31,23.42,$1.15,20.36
2022-09-30,14.94,$0.82,18.22
2022-06-30,14.64,$0.30,48.8
2022-03-31,10.96,$0.20,54.81
2021-12-31,8.8,$0.16,54.97
2021-09-30,4.95,$0.16,30.95
2021-06-30,4.8,$0.13,36.92
2021-03-31,3.36,$0.11,30.5
2020-12-31,2.76,$0.20,13.81
2020-09-30,2.04,$0.31,6.58
2020-06-30,2.69,$0.41,6.56
2020-03-31,2.27,$0.46,4.94
2019-12-31,2.99,$0.42,7.13
2019-09-30,3.92,$0.47,8.34
2019-06-30,4.48,$0.49,9.15
2019-03-31,5.46,$0.55,9.93
2018-12-31,4.23,$0.66,6.4
2018-09-30,5.61,$0.66,8.5
2018-06-30,6.46,$0.64,10.1
2018-03-31,6.58,$0.64,10.28
2017-12-31,5.92,$0.64,9.25
2017-09-30,5.72,$0.63,9.07
2017-06-30,5.63,$0.63,8.93
2017-03-31,5.95,$0.56,10.63
2016-12-31,4.8,$0.41,11.72
2016-09-30,4.25,$0.32,13.3
2016-06-30,4.39,$0.31,14.16
2016-03-31,3.65,$0.31,11.77
2015-12-31,2.97,$0.35,8.49
2015-09-30,3.55,$0.44,8.07
2015-06-30,4.6,$0.64,7.19
2015-03-31,4.58,$0.86,5.32
2014-12-31,5.35,$1.02,5.25
2014-09-30,7.51,$1.10,6.83
2014-06-30,7.7,$1.05,7.33
2014-03-31,6.98,$0.98,7.12
2013-12-31,6.67,$0.87,7.67
2013-09-30,7.28,$0.84,8.66
2013-06-30,6.66,$0.76,8.76
2013-03-31,6.13,$0.87,7.04
2012-12-31,5.97,$1.16,5.15
2012-09-30,7.36,$1.27,5.79
2012-06-30,8.41,$1.40,6.01
2012-03-31,10.65,$1.44,7.4
2011-12-31,9.31,$1.36,6.84
2011-09-30,9.21,$1.35,6.82
2011-06-30,9.6,$1.37,7.01
2011-03-31,9.51,$1.38,6.89
2010-12-31,9.71,$1.38,7.04
2010-09-30,8.34,$1.89,4.41
2010-06-30,7.59,$1.77,4.29
2010-03-31,7.15,$1.51,4.73
2009-12-31,5.75,$1.32,4.35
