First Community Bancshares PE Ratio Historical Data,First Community Bancshares PE Ratio Historical Data,First Community Bancshares PE Ratio Historical Data,First Community Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.7,,13.63
2024-12-31,41.64,$2.84,14.66
2024-09-30,42.86,$2.79,15.36
2024-06-30,36.31,$2.87,12.65
2024-03-31,33.86,$2.71,12.5
2023-12-31,35.96,$2.72,13.22
2023-09-30,28.3,$2.83,10.0
2023-06-30,28.32,$2.85,9.94
2023-03-31,23.57,$2.97,7.94
2022-12-31,31.61,$2.81,11.25
2022-09-30,29.63,$2.66,11.14
2022-06-30,26.96,$2.58,10.45
2022-03-31,25.6,$2.67,9.59
2021-12-31,30.05,$2.93,10.26
2021-09-30,28.3,$2.96,9.56
2021-06-30,26.4,$2.70,9.78
2021-03-31,26.31,$2.40,10.96
2020-12-31,18.73,$2.02,9.27
2020-09-30,15.47,$1.98,7.81
2020-06-30,19.0,$2.09,9.09
2020-03-31,19.49,$2.29,8.51
2019-12-31,25.73,$2.45,10.5
2019-09-30,26.64,$2.41,11.06
2019-06-30,27.58,$2.38,11.59
2019-03-31,26.87,$2.26,11.89
2018-12-31,25.37,$2.18,11.64
2018-09-30,27.14,$1.68,16.15
2018-06-30,25.36,$1.58,16.05
2018-03-31,23.63,$1.42,16.64
2017-12-31,22.22,$1.26,17.64
2017-09-30,22.38,$1.57,14.26
2017-06-30,20.89,$1.49,14.02
2017-03-31,18.95,$1.47,12.89
2016-12-31,22.75,$1.45,15.69
2016-09-30,18.59,$1.41,13.18
2016-06-30,16.7,$1.38,12.1
2016-03-31,14.67,$1.35,10.86
2015-12-31,13.66,$1.32,10.35
2015-09-30,13.03,$1.27,10.26
2015-06-30,13.17,$1.29,10.21
2015-03-31,12.57,$1.32,9.52
2014-12-31,11.71,$1.30,9.01
2014-09-30,10.08,$1.27,7.94
2014-06-30,10.02,$1.17,8.56
2014-03-31,11.35,$1.06,10.7
2013-12-31,11.49,$1.10,10.45
2013-09-30,11.17,$1.23,9.08
2013-06-30,10.63,$1.44,7.38
2013-03-31,10.66,$1.39,7.67
2012-12-31,10.66,$1.37,7.78
2012-09-30,10.11,$1.15,8.79
2012-06-30,9.49,$0.96,9.89
2012-03-31,8.71,$1.07,8.14
2011-12-31,8.08,$1.08,7.48
2011-09-30,6.55,$1.18,5.55
2011-06-30,8.9,$1.27,7.01
2011-03-31,8.96,$1.25,7.16
2010-12-31,9.37,$1.23,7.61
2010-09-30,8.03,$-0.99,0.0
2010-06-30,9.08,$-2.07,0.0
2010-03-31,7.6,$-2.13,0.0
2009-12-31,7.34,$-2.03,0.0
