Janus Henderson Group PE Ratio Historical Data,Janus Henderson Group PE Ratio Historical Data,Janus Henderson Group PE Ratio Historical Data,Janus Henderson Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.58,,14.68
2024-12-31,42.53,$2.56,16.61
2024-09-30,37.74,$2.53,14.92
2024-06-30,33.04,$2.92,11.31
2024-03-31,31.86,$2.65,12.02
2023-12-31,28.83,$2.37,12.16
2023-09-30,24.3,$2.02,12.03
2023-06-30,25.28,$2.11,11.98
2023-03-31,24.35,$2.13,11.43
2022-12-31,21.2,$2.07,10.24
2022-09-30,17.98,$2.46,7.31
2022-06-30,20.49,$2.95,6.95
2022-03-31,30.09,$3.18,9.46
2021-12-31,35.64,$3.59,9.93
2021-09-30,34.85,$3.83,9.1
2021-06-30,32.43,$3.34,9.71
2021-03-31,25.77,$3.10,8.31
2020-12-31,26.58,$0.87,30.55
2020-09-30,17.51,$0.44,39.79
2020-06-30,16.77,$0.37,45.33
2020-03-31,11.9,$0.38,31.31
2019-12-31,18.72,$2.21,8.47
2019-09-30,16.95,$2.16,7.85
2019-06-30,15.85,$2.13,7.44
2019-03-31,18.2,$2.27,8.02
2018-12-31,14.87,$2.61,5.7
2018-09-30,18.77,$4.39,4.27
2018-06-30,21.12,$4.33,4.88
2018-03-31,22.49,$3.91,5.75
