Cognyte Software PE Ratio Historical Data,Cognyte Software PE Ratio Historical Data,Cognyte Software PE Ratio Historical Data,Cognyte Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.35,,0.0
2024-10-31,6.49,$-0.19,0.0
2024-07-31,7.63,$-0.07,0.0
2024-04-30,6.82,$-0.17,0.0
2024-01-31,7.08,$-0.23,0.0
2023-10-31,4.18,$-0.59,0.0
2023-07-31,5.42,$-1.07,0.0
2023-04-30,4.16,$-1.37,0.0
2023-01-31,3.79,$-1.69,0.0
2022-10-31,2.72,$-1.48,0.0
2022-07-31,4.51,$-1.04,0.0
2022-04-30,6.78,$-0.61,0.0
2022-01-31,10.85,$-0.23,0.0
