LCNB PE Ratio Historical Data,LCNB PE Ratio Historical Data,LCNB PE Ratio Historical Data,LCNB PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.93,,28.17
2024-12-31,15.13,$0.53,28.55
2024-09-30,14.88,$0.51,29.18
2024-06-30,13.54,$0.57,23.75
2024-03-31,15.28,$0.92,16.6
2023-12-31,14.88,$1.14,13.05
2023-09-30,13.26,$1.73,7.67
2023-06-30,13.53,$1.85,7.31
2023-03-31,14.75,$1.92,7.68
2022-12-31,16.06,$1.93,8.32
2022-09-30,13.99,$1.81,7.73
2022-06-30,13.03,$1.71,7.62
2022-03-31,15.11,$1.63,9.27
2021-12-31,16.62,$1.66,10.01
2021-09-30,14.72,$1.65,8.92
2021-06-30,13.64,$1.59,8.58
2021-03-31,14.43,$1.57,9.19
2020-12-31,11.98,$1.55,7.73
2020-09-30,10.99,$1.48,7.42
2020-06-30,12.69,$1.51,8.4
2020-03-31,9.9,$1.48,6.69
2019-12-31,14.99,$1.44,10.41
2019-09-30,13.65,$1.46,9.35
2019-06-30,14.47,$1.42,10.19
2019-03-31,12.93,$1.23,10.51
2018-12-31,11.31,$1.15,9.83
2018-09-30,13.78,$1.12,12.3
2018-06-30,14.43,$1.11,13.0
2018-03-31,13.8,$1.24,11.13
2017-12-31,14.73,$1.29,11.42
2017-09-30,14.98,$1.30,11.52
2017-06-30,14.17,$1.28,11.07
2017-03-31,16.76,$1.27,13.2
2016-12-31,16.23,$1.25,12.98
2016-09-30,12.62,$1.17,10.78
2016-06-30,10.84,$1.14,9.51
2016-03-31,10.92,$1.17,9.34
2015-12-31,11.01,$1.17,9.41
2015-09-30,10.8,$1.22,8.85
2015-06-30,10.7,$1.25,8.56
2015-03-31,10.0,$1.21,8.27
2014-12-31,9.75,$1.05,9.28
2014-09-30,9.61,$0.98,9.81
2014-06-30,10.23,$0.99,10.34
2014-03-31,10.84,$1.01,10.73
2013-12-31,11.1,$1.10,10.09
2013-09-30,11.8,$1.15,10.26
2013-06-30,13.65,$1.12,12.19
2013-03-31,10.09,$1.11,9.09
2012-12-31,8.21,$1.22,6.73
2012-09-30,7.94,$1.18,6.73
2012-06-30,7.81,$1.19,6.56
2012-03-31,7.66,$1.20,6.39
2011-12-31,7.4,$1.20,6.17
2011-09-30,7.54,$1.27,5.93
2011-06-30,6.64,$1.29,5.15
2011-03-31,6.43,$1.40,4.6
2010-12-31,6.48,$1.39,4.66
2010-09-30,6.26,$1.29,4.85
2010-06-30,6.21,$1.26,4.93
2010-03-31,6.26,$1.09,5.74
2009-12-31,5.4,$0.98,5.51
