Hartford Financial Services PE Ratio Historical Data,Hartford Financial Services PE Ratio Historical Data,Hartford Financial Services PE Ratio Historical Data,Hartford Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,119.67,,11.56
2024-12-31,109.4,$10.35,10.57
2024-09-30,117.11,$9.98,11.73
2024-06-30,99.71,$9.51,10.48
2024-03-31,102.2,$8.80,11.61
2023-12-31,79.32,$7.99,9.93
2023-09-30,69.56,$7.29,9.54
2023-06-30,70.23,$6.22,11.29
2023-03-31,67.54,$5.81,11.62
2022-12-31,73.09,$5.45,13.41
2022-09-30,59.37,$5.74,10.34
2022-06-30,62.34,$6.08,10.25
2022-03-31,68.06,$7.27,9.36
2021-12-31,65.07,$6.64,9.8
2021-09-30,65.83,$6.01,10.95
2021-06-30,57.77,$5.91,9.78
2021-03-31,61.93,$4.69,13.21
2020-12-31,45.11,$4.76,9.48
2020-09-30,33.7,$4.78,7.05
2020-06-30,34.96,$4.95,7.06
2020-03-31,31.69,$4.68,6.77
2019-12-31,54.3,$5.65,9.61
2019-09-30,53.89,$4.68,11.52
2019-06-30,49.29,$4.44,11.1
2019-03-31,43.73,$5.02,8.71
2018-12-31,38.86,$4.95,7.85
2018-09-30,43.38,$-5.94,0.0
2018-06-30,44.14,$-6.49,0.0
2018-03-31,44.26,$-8.20,0.0
2017-12-31,48.12,$-8.84,0.0
2017-09-30,47.19,$1.31,36.02
2017-06-30,44.56,$1.79,24.9
2017-03-31,40.56,$2.44,16.62
2016-12-31,40.02,$2.23,17.94
2016-09-30,35.79,$3.46,10.34
2016-06-30,36.9,$3.24,11.39
2016-03-31,38.14,$3.66,10.42
2015-12-31,35.79,$3.95,9.06
2015-09-30,37.53,$3.80,9.88
2015-06-30,33.93,$3.76,9.02
2015-03-31,33.98,$1.79,18.98
2014-12-31,33.73,$1.74,19.38
2014-09-30,30.01,$1.53,19.61
2014-06-30,28.71,$1.27,22.6
2014-03-31,28.15,$1.89,14.89
2013-12-31,28.8,$0.28,102.85
2013-09-30,24.63,$-0.50,0.0
2013-06-30,24.35,$-0.27,0.0
2013-03-31,20.26,$-0.14,0.0
2012-12-31,17.55,$0.62,28.3
2012-09-30,15.13,$0.99,15.28
2012-06-30,13.64,$0.14,97.45
2012-03-31,16.22,$0.45,36.04
2011-12-31,12.44,$1.28,9.72
2011-09-30,12.28,$2.28,5.39
2011-06-30,19.96,$3.64,5.48
2011-03-31,20.31,$3.73,5.45
2010-12-31,19.91,$2.30,8.66
2010-09-30,17.21,$2.25,7.65
2010-06-30,16.56,$0.12,137.96
2010-03-31,21.22,$-0.08,0.0
2009-12-31,17.33,$-3.43,0.0
