Sonnet BioTherapeutics Holdings PE Ratio Historical Data,Sonnet BioTherapeutics Holdings PE Ratio Historical Data,Sonnet BioTherapeutics Holdings PE Ratio Historical Data,Sonnet BioTherapeutics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.43,,0.0
2024-12-31,1.46,$-6.60,0.0
2024-09-30,6.69,$-7.52,0.0
2024-06-30,7.5,$-7.52,0.0
2024-03-31,14.88,$-24.78,0.0
2023-12-31,13.92,$-85.12,0.0
2023-09-30,22.92,$-223.30,0.0
2023-06-30,86.24,$-223.30,0.0
2023-03-31,63.36,$-520.57,0.0
2022-12-31,202.4,$-805.54,0.0
2022-09-30,258.72,$-911.13,0.0
2022-06-30,689.92,$-911.13,0.0
2022-03-31,926.46,"$-1,255.89",0.0
2021-12-31,1017.88,"$-1,699.14",0.0
2021-09-30,1493.18,"$-2,290.15",0.0
2021-06-30,3893.12,"$-13,937.89",0.0
2021-03-31,5544.0,"$-15,858.66",0.0
2020-12-31,5494.72,"$-15,193.77",0.0
2020-09-30,6332.48,"$-14,356.52",0.0
2020-06-30,8968.96,"$-27,653.82",0.0
2020-03-31,25696.07,"$-78,156.33",0.0
2019-12-31,37797.76,"$-110,653.64",0.0
2019-09-30,46382.33,"$-110,653.64",0.0
2019-06-30,70470.39,"$-107,455.56",0.0
2019-03-31,110830.71,"$-69,078.58",0.0
2018-12-31,82642.55,"$-89,546.30",0.0
2018-09-30,158878.7,"$-89,546.30",0.0
2018-06-30,197957.74,"$-67,799.34",0.0
2018-03-31,237036.77,"$-90,185.92",0.0
2017-12-31,168481.89,"$-88,267.08",0.0
2017-09-30,167399.21,"$-88,267.08",0.0
2017-06-30,199879.66,"$-113,851.74",0.0
2017-03-31,230630.37,"$-230,261.88",0.0
2016-12-31,269068.77,"$-223,865.71",0.0
2016-09-30,352287.89,"$-223,865.71",0.0
2016-06-30,275475.17,"$-396,562.15",0.0
2016-03-31,518918.34,"$-396,562.15",0.0
2015-12-31,640255.54,"$-524,485.50",0.0
2015-09-30,704703.91,"$-524,485.50",0.0
2015-06-30,1582380.6,"$-377,373.72",0.0
2015-03-31,1531129.41,"$-364,581.42",0.0
2014-12-31,1104911.67,"$-345,392.82",0.0
2014-09-30,1326124.64,"$-345,392.82",0.0
2014-06-30,1679117.23,"$-537,277.80",0.0
2014-03-31,2408806.1,"$-518,089.30",0.0
2013-12-31,3440236.37,"$-492,504.70",0.0
2013-09-30,3126258.75,"$-492,504.70",0.0
2013-06-30,1921919.76,"$-377,373.70",0.0
2013-03-31,1204403.05,"$-569,258.70",0.0
2012-12-31,2331929.31,"$-588,447.20",0.0
2012-09-30,2331929.31,"$-588,447.20",0.0
2012-06-30,2812345.19,"$-588,447.20",0.0
2012-03-31,4164159.48,"$-390,166.10",0.0
2011-12-31,4740735.41,"$-172,696.49",0.0
2011-09-30,4164159.48,"$-172,696.49",0.0
2011-06-30,3831026.73,"$-89,546.34",0.0
2011-03-31,4100095.49,"$-12,792.32",0.0
2010-12-31,2722719.66,"$-166,300.27",0.0
2010-09-30,2562559.68,"$-166,300.27",0.0
2010-06-30,2562559.68,"$-121,527.12",0.0
2010-03-31,2722719.66,"$-83,150.14",0.0
2009-12-31,2562559.68,0,0.0
