Benitec Biopharma PE Ratio Historical Data,Benitec Biopharma PE Ratio Historical Data,Benitec Biopharma PE Ratio Historical Data,Benitec Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.79,,0.0
2024-12-31,12.63,$-2.45,0.0
2024-09-30,9.19,$-4.76,0.0
2024-06-30,6.99,$-7.04,0.0
2024-03-31,5.25,$-7.04,0.0
2023-12-31,3.23,$-8.12,0.0
2023-09-30,3.02,$-8.88,0.0
2023-06-30,0.24,$-14.11,0.0
2023-03-31,0.21,$-24.66,0.0
2022-12-31,0.17,$-28.74,0.0
2022-09-30,0.37,$-35.37,0.0
2022-06-30,1.16,$-37.92,0.0
2022-03-31,2.34,$-32.48,0.0
2021-12-31,2.62,$-39.62,0.0
2021-09-30,3.57,"$-2,602.04",0.0
2021-06-30,4.25,"$-2,633.17",0.0
2021-03-31,5.17,"$-2,628.07",0.0
2020-12-31,3.0,"$-2,614.12",0.0
2020-09-30,6.28,$-41.67,0.0
2020-06-30,7.91,0,0.0
2020-03-31,3.93,$-56.12,0.0
2019-12-31,5.1,$-35.71,0.0
2019-09-30,7.11,$-35.71,0.0
2017-09-30,21.7,$-35.71,0.0
2016-09-30,14.0,$20.41,0.69
