UPS PE Ratio Historical Data,UPS PE Ratio Historical Data,UPS PE Ratio Historical Data,UPS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,116.98,,17.3
2024-12-31,126.1,$6.76,18.65
2024-09-30,134.72,$6.62,20.35
2024-06-30,133.53,$6.13,21.78
2024-03-31,143.44,$6.90,20.79
2023-12-31,150.09,$7.79,19.27
2023-09-30,147.07,$9.88,14.89
2023-06-30,167.59,$11.53,14.54
2023-03-31,179.64,$12.36,14.53
2022-12-31,159.57,$13.20,12.09
2022-09-30,146.99,$12.76,11.52
2022-06-30,164.87,$12.45,13.24
2022-03-31,192.06,$12.25,15.68
2021-12-31,190.57,$14.69,12.97
2021-09-30,161.12,$7.42,21.71
2021-06-30,183.04,$7.01,26.11
2021-03-31,148.9,$5.99,24.86
2020-12-31,146.57,$1.63,89.92
2020-09-30,144.14,$5.26,27.4
2020-06-30,95.57,$5.03,19.0
2020-03-31,79.47,$4.94,16.09
2019-12-31,98.57,$5.11,19.29
2019-09-30,100.12,$5.75,17.41
2019-06-30,85.58,$5.47,15.64
2019-03-31,91.71,$5.24,17.5
2018-12-31,79.36,$5.51,14.4
2018-09-30,94.22,$6.26,15.05
2018-06-30,85.09,$5.98,14.23
2018-03-31,83.18,$5.85,14.22
2017-12-31,93.89,$5.62,16.71
2017-09-30,93.95,$4.08,23.03
2017-06-30,85.87,$4.07,21.1
2017-03-31,82.66,$3.92,21.09
2016-12-31,87.63,$3.87,22.64
2016-09-30,83.02,$5.62,14.77
2016-06-30,81.2,$5.57,14.58
2016-03-31,78.9,$5.49,14.37
2015-12-31,71.42,$5.34,13.37
2015-09-30,72.73,$4.35,16.72
2015-06-30,70.91,$4.28,16.57
2015-03-31,70.42,$3.42,20.59
2014-12-31,80.18,$3.28,24.44
2014-09-30,70.45,$4.04,17.44
2014-06-30,73.07,$3.88,18.83
2014-03-31,68.86,$4.52,15.23
2013-12-31,73.78,$4.62,15.97
2013-09-30,63.77,$1.54,41.41
2013-06-30,59.92,$0.86,69.67
2013-03-31,59.1,$0.88,67.16
2012-12-31,50.35,$0.80,62.94
2012-09-30,48.48,$3.37,14.39
2012-06-30,52.96,$3.95,13.41
2012-03-31,53.88,$3.87,13.92
2011-12-31,48.49,$3.75,12.93
2011-09-30,41.53,$4.12,10.08
2011-06-30,47.56,$4.05,11.74
2011-03-31,48.13,$3.82,12.6
2010-12-31,46.68,$3.47,13.45
2010-09-30,42.6,$3.11,13.7
2010-06-30,36.07,$2.67,13.51
2010-03-31,40.56,$2.27,17.87
2009-12-31,35.83,$2.14,16.74
