Flexsteel Industries PE Ratio Historical Data,Flexsteel Industries PE Ratio Historical Data,Flexsteel Industries PE Ratio Historical Data,Flexsteel Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.01,,10.9
2024-12-31,54.34,$3.58,15.18
2024-09-30,44.29,$2.53,17.51
2024-06-30,30.94,$1.93,16.03
2024-03-31,36.98,$2.95,12.53
2023-12-31,18.61,$2.90,6.42
2023-09-30,20.33,$2.86,7.11
2023-06-30,18.58,$2.77,6.71
2023-03-31,18.58,$0.81,22.94
2022-12-31,14.75,$1.35,10.93
2022-09-30,14.9,$-0.31,0.0
2022-06-30,16.92,$0.25,67.67
2022-03-31,17.99,$1.11,16.21
2021-12-31,24.87,$0.96,25.9
2021-09-30,28.42,$3.22,8.83
2021-06-30,37.0,$3.10,11.94
2021-03-31,31.81,$-0.94,0.0
2020-12-31,31.79,$-2.27,0.0
2020-09-30,21.75,$-4.08,0.0
2020-06-30,11.42,$-3.40,0.0
2020-03-31,9.87,$-2.69,0.0
2019-12-31,17.59,$-4.00,0.0
2019-09-30,12.94,$-3.12,0.0
2019-06-30,14.7,$-4.13,0.0
2019-03-31,19.73,$-1.33,0.0
2018-12-31,18.62,$1.36,13.69
2018-09-30,24.84,$1.94,12.8
2018-06-30,33.09,$2.56,12.93
2018-03-31,32.64,$3.04,10.74
2017-12-31,38.35,$3.28,11.69
2017-09-30,41.37,$3.18,13.01
2017-06-30,43.95,$3.01,14.6
2017-03-31,40.78,$3.03,13.46
2016-12-31,49.69,$2.96,16.79
2016-09-30,41.54,$2.97,13.99
2016-06-30,31.69,$3.10,10.22
2016-03-31,34.79,$3.06,11.37
2015-12-31,35.04,$3.07,11.41
2015-09-30,24.69,$2.99,8.26
2015-06-30,33.84,$2.89,11.71
2015-03-31,24.47,$2.89,8.47
2014-12-31,25.07,$2.57,9.76
2014-09-30,26.07,$2.12,12.3
2014-06-30,25.65,$1.99,12.89
2014-03-31,28.81,$1.82,15.83
2013-12-31,23.44,$1.66,14.12
2013-09-30,18.94,$1.90,9.97
2013-06-30,18.38,$1.79,10.27
2013-03-31,18.53,$1.83,10.12
2012-12-31,15.97,$1.89,8.45
2012-09-30,15.29,$1.91,8.01
2012-06-30,14.5,$1.85,7.84
2012-03-31,13.17,$1.74,7.57
2011-12-31,10.01,$1.61,6.22
2011-09-30,10.77,$1.50,7.18
2011-06-30,10.43,$1.50,6.95
2011-03-31,10.69,$1.61,6.64
2010-12-31,12.53,$1.60,7.83
2010-09-30,10.78,$1.74,6.2
2010-06-30,7.7,$1.61,4.78
2010-03-31,9.46,$1.12,8.45
2009-12-31,7.1,$0.50,14.2
