Gray Media PE Ratio Historical Data,Gray Media PE Ratio Historical Data,Gray Media PE Ratio Historical Data,Gray Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.19,,1.56
2024-12-31,3.15,$3.33,0.95
2024-09-30,5.25,$1.50,3.5
2024-06-30,5.01,$0.07,71.57
2024-03-31,5.99,$-0.12,0.0
2023-12-31,8.38,$-1.39,0.0
2023-09-30,6.41,$0.73,8.79
2023-06-30,7.23,$2.33,3.1
2023-03-31,7.92,$3.34,2.37
2022-12-31,10.07,$4.34,2.32
2022-09-30,12.8,$2.63,4.87
2022-06-30,15.04,$1.28,11.75
2022-03-31,19.56,$0.64,30.57
2021-12-31,17.81,$0.39,45.66
2021-09-30,20.08,$2.44,8.23
2021-06-30,20.51,$3.90,5.26
2021-03-31,16.07,$3.61,4.45
2020-12-31,15.56,$3.74,4.16
2020-09-30,11.98,$2.33,5.14
2020-06-30,12.14,$1.65,7.36
2020-03-31,9.34,$1.98,4.72
2019-12-31,18.65,$1.27,14.69
2019-09-30,14.2,$1.46,9.73
2019-06-30,14.26,$1.70,8.39
2019-03-31,18.58,$1.85,10.05
2018-12-31,12.82,$2.38,5.39
2018-09-30,15.23,$3.51,4.34
2018-06-30,13.75,$3.02,4.55
2018-03-31,11.05,$3.53,3.13
2017-12-31,14.57,$3.45,4.22
2017-09-30,13.66,$1.81,7.55
2017-06-30,11.92,$1.60,7.45
2017-03-31,12.62,$0.87,14.5
2016-12-31,9.44,$0.85,11.11
2016-09-30,9.01,$0.57,15.81
2016-06-30,9.44,$0.66,14.3
2016-03-31,10.2,$0.59,17.28
2015-12-31,14.18,$0.57,24.88
2015-09-30,11.1,$0.89,12.47
2015-06-30,13.64,$1.04,13.12
2015-03-31,12.02,$0.90,13.36
2014-12-31,9.74,$0.82,11.88
2014-09-30,6.86,$0.38,18.04
2014-06-30,11.42,$0.26,43.94
2014-03-31,9.02,$0.32,28.19
2013-12-31,12.95,$0.32,40.46
2013-09-30,6.83,$0.18,37.94
2013-06-30,6.26,$0.32,19.58
2013-03-31,4.08,$0.40,10.2
2012-12-31,1.91,$0.42,4.56
2012-09-30,1.98,$0.57,3.48
2012-06-30,1.28,$0.31,4.13
2012-03-31,1.64,$0.15,10.96
2011-12-31,1.41,$0.02,70.47
2011-09-30,1.36,$0.27,5.03
2011-06-30,2.3,$0.34,6.76
2011-03-31,1.8,$0.22,8.19
2010-12-31,1.63,$0.12,13.56
2010-09-30,1.75,$-0.36,0.0
2010-06-30,2.1,$-0.64,0.0
2010-03-31,2.0,$-0.75,0.0
2009-12-31,1.31,$-0.83,0.0
