Xinyuan Real Estate Co PE Ratio Historical Data,Xinyuan Real Estate Co PE Ratio Historical Data,Xinyuan Real Estate Co PE Ratio Historical Data,Xinyuan Real Estate Co PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.65,,0.0
2024-06-30,2.67,$-19.90,0.0
2020-12-31,22.0,$-27.20,0.0
2020-09-30,18.8,$-1.40,0.0
2020-06-30,21.4,$-5.30,0.0
2020-03-31,20.32,$1.50,13.55
2019-12-31,35.23,$12.10,2.91
2019-09-30,36.9,$17.40,2.12
2019-06-30,37.11,$19.80,1.87
2019-03-31,42.23,$16.80,2.51
2018-12-31,32.31,$11.90,2.71
2018-09-30,37.45,$5.10,7.34
2018-06-30,36.12,$4.20,8.6
2018-03-31,42.02,$6.70,6.27
2017-12-31,53.31,$9.40,5.67
2017-09-30,43.75,$6.50,6.73
2017-06-30,39.13,$8.40,4.66
2017-03-31,32.64,$10.90,2.99
2016-12-31,35.98,$10.70,3.36
2016-09-30,45.02,$11.50,3.91
2016-06-30,34.33,$10.50,3.27
2016-03-31,30.73,$9.30,3.3
2015-12-31,25.28,$9.00,2.81
2015-09-30,19.11,$9.80,1.95
2015-06-30,21.36,$7.70,2.77
2015-03-31,19.47,$5.80,3.36
2014-12-31,15.15,$6.40,2.37
2014-09-30,18.55,$5.90,3.14
2014-06-30,26.25,$8.80,2.98
2014-03-31,31.03,$13.40,2.32
2013-12-31,32.51,$15.90,2.04
2013-09-30,36.2,$17.70,2.05
2013-06-30,25.82,$18.20,1.42
2013-03-31,29.15,$22.20,1.31
2012-12-31,20.94,$21.50,0.97
2012-09-30,16.47,$20.60,0.8
2012-06-30,17.29,$20.40,0.85
2012-03-31,19.5,$15.00,1.3
2011-12-31,9.84,$13.60,0.72
2011-09-30,9.81,$12.60,0.78
2011-06-30,12.01,$9.40,1.28
2011-03-31,12.35,$6.70,1.84
2010-12-31,13.82,$6.50,2.13
2010-09-30,12.92,$6.90,1.87
2010-06-30,12.5,$7.80,1.6
2010-03-31,20.96,$6.90,3.04
2009-12-31,23.48,$5.70,4.12
