SelectQuote PE Ratio Historical Data,SelectQuote PE Ratio Historical Data,SelectQuote PE Ratio Historical Data,SelectQuote PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.81,,0.0
2024-12-31,3.72,$-0.09,0.0
2024-09-30,2.17,$-0.28,0.0
2024-06-30,2.76,$-0.21,0.0
2024-03-31,2.0,$-0.32,0.0
2023-12-31,1.37,$-0.31,0.0
2023-09-30,1.17,$-0.28,0.0
2023-06-30,1.95,$-0.35,0.0
2023-03-31,2.17,$-0.70,0.0
2022-12-31,0.67,$-0.80,0.0
2022-09-30,0.73,$-1.78,0.0
2022-06-30,2.48,$-1.80,0.0
2022-03-31,2.79,$-1.14,0.0
2021-12-31,9.06,$-0.88,0.0
2021-09-30,12.93,$0.51,25.35
2021-06-30,19.26,$0.80,24.08
2021-03-31,29.51,$0.91,32.43
