EMCORE PE Ratio Historical Data,EMCORE PE Ratio Historical Data,EMCORE PE Ratio Historical Data,EMCORE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-02-28,3.1,,inf
2024-12-31,3.0,0.0,0.0
2024-09-30,2.21,0.0,0.0
2024-06-30,1.18,0.0,0.0
2024-03-31,3.45,0.0,0.0
2023-12-31,4.89,0.0,0.0
2023-09-30,4.76,0.0,0.0
2023-06-30,7.53,0.0,0.0
2023-03-31,11.5,0.0,0.0
2022-12-31,9.63,0.0,0.0
2022-09-30,16.7,0.0,0.0
2022-06-30,30.7,0.0,0.0
2022-03-31,37.0,0.0,0.0
2021-12-31,69.8,0.0,0.0
2021-09-30,74.8,0.0,0.0
2021-06-30,92.2,0.0,0.0
2021-03-31,54.6,0.0,0.0
2020-12-31,54.5,0.0,0.0
2020-09-30,32.5,0.0,0.0
2020-06-30,31.8,0.0,0.0
2020-03-31,22.4,0.0,0.0
2019-12-31,30.4,0.0,0.0
2019-09-30,30.7,0.0,0.0
2019-06-30,32.9,0.0,0.0
2019-03-31,36.5,0.0,0.0
2018-12-31,42.0,0.0,0.0
2018-09-30,47.5,0.0,0.0
2018-06-30,50.5,0.0,0.0
2018-03-31,57.0,0.0,0.0
2017-12-31,64.5,0.0,0.0
2017-09-30,82.0,0.0,0.0
2017-06-30,106.5,0.0,0.0
2017-03-31,90.0,0.0,0.0
2016-12-31,87.0,0.0,0.0
2016-09-30,57.0,0.0,0.0
2016-06-30,45.9,0.0,0.0
2016-03-31,38.64,0.0,0.0
2015-12-31,47.37,0.0,0.0
2015-09-30,52.55,0.0,0.0
2015-06-30,46.52,0.0,0.0
2015-03-31,42.04,0.0,0.0
2014-12-31,40.95,0.0,0.0
2014-09-30,43.97,0.0,0.0
2014-06-30,31.84,0.0,0.0
2014-03-31,39.02,0.0,0.0
2013-12-31,39.56,0.0,0.0
2013-09-30,34.62,0.0,0.0
2013-06-30,27.82,0.0,0.0
2013-03-31,44.97,0.0,0.0
2012-12-31,33.23,0.0,0.0
2012-09-30,43.66,0.0,0.0
2012-06-30,34.15,0.0,0.0
2012-03-31,36.86,0.0,0.0
2011-12-31,26.65,0.0,0.0
2011-09-30,30.6,0.0,0.0
2011-06-30,84.69,0.0,0.0
2011-03-31,79.44,0.0,0.0
2010-12-31,33.54,0.0,0.0
2010-09-30,24.76,0.0,0.0
2010-06-30,27.51,0.0,0.0
2010-03-31,37.4,0.0,0.0
2009-12-31,33.07,0.0,0.0
