Radiant Logistics PE Ratio Historical Data,Radiant Logistics PE Ratio Historical Data,Radiant Logistics PE Ratio Historical Data,Radiant Logistics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.28,,22.43
2024-12-31,6.7,$0.28,23.93
2024-09-30,6.43,$0.17,37.82
2024-06-30,5.69,$0.15,37.93
2024-03-31,5.42,$0.11,49.27
2023-12-31,6.64,$0.21,31.62
2023-09-30,5.65,$0.32,17.66
2023-06-30,6.72,$0.43,15.63
2023-03-31,6.56,$0.73,8.99
2022-12-31,5.09,$0.93,5.47
2022-09-30,5.69,$0.94,6.05
2022-06-30,7.42,$0.92,8.07
2022-03-31,6.37,$0.77,8.27
2021-12-31,7.29,$0.59,12.36
2021-09-30,6.39,$0.52,12.29
2021-06-30,6.93,$0.44,15.75
2021-03-31,6.95,$0.32,21.72
2020-12-31,5.8,$0.22,26.36
2020-09-30,5.14,$0.20,25.7
2020-06-30,3.93,$0.20,19.65
2020-03-31,3.87,$0.20,19.35
2019-12-31,5.57,$0.26,21.42
2019-09-30,5.17,$0.28,18.46
2019-06-30,6.14,$0.27,22.74
2019-03-31,6.3,$0.27,23.33
2018-12-31,4.25,$0.21,20.24
2018-09-30,5.91,$0.21,28.14
2018-06-30,3.91,$0.17,23.0
2018-03-31,3.87,$0.06,64.5
2017-12-31,4.6,$0.07,65.71
2017-09-30,5.31,$0.04,132.75
2017-06-30,5.38,$0.06,89.67
2017-03-31,5.0,$0.07,71.43
2016-12-31,3.9,$0.01,0.0
2016-09-30,2.84,$-0.08,0.0
2016-06-30,3.0,$-0.11,0.0
2016-03-31,3.57,$-0.06,0.0
2015-12-31,3.43,$0.01,0.0
2015-09-30,4.46,$0.07,63.71
2015-06-30,7.31,$0.10,73.1
2015-03-31,5.18,$0.10,51.8
2014-12-31,4.23,$0.11,38.45
2014-09-30,3.68,$0.11,33.45
2014-06-30,3.09,$0.11,28.09
2014-03-31,3.09,$0.14,22.07
2013-12-31,2.68,$0.13,20.62
2013-09-30,2.28,$0.12,19.0
2013-06-30,1.95,$0.10,19.5
2013-03-31,2.1,$0.06,35.0
2012-12-31,1.42,$0.04,35.5
2012-09-30,1.68,$0.05,33.6
2012-06-30,1.75,$0.06,29.17
2012-03-31,2.2,$0.05,44.0
2011-12-31,2.4,$0.07,34.29
2011-09-30,2.28,$0.08,28.5
2011-06-30,2.4,$0.09,26.67
2011-03-31,2.05,$0.10,20.5
2010-12-31,1.1,$0.09,12.22
2010-09-30,0.39,$0.09,4.33
2010-06-30,0.27,$0.06,4.5
2010-03-31,0.23,$0.03,7.67
2009-12-31,0.25,$0.03,8.17
