Nova Lifestyle PE Ratio Historical Data,Nova Lifestyle PE Ratio Historical Data,Nova Lifestyle PE Ratio Historical Data,Nova Lifestyle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.57,,0.0
2024-09-30,1.53,$-4.50,0.0
2024-06-30,1.63,$-4.61,0.0
2024-03-31,2.99,$-4.76,0.0
2023-12-31,3.77,$-4.96,0.0
2023-09-30,2.42,$-2.05,0.0
2023-06-30,2.24,$-2.47,0.0
2023-03-31,3.01,$-6.25,0.0
2022-12-31,2.17,$-6.05,0.0
2022-09-30,3.7,$-15.15,0.0
2022-06-30,3.6,$-15.00,0.0
2022-03-31,7.5,$-16.50,0.0
2021-12-31,9.35,$-16.55,0.0
2021-09-30,11.35,$-7.45,0.0
2021-06-30,15.7,$-13.65,0.0
2021-03-31,16.2,$-8.45,0.0
2020-12-31,11.9,$-8.95,0.0
2020-09-30,8.25,$-8.95,0.0
2020-06-30,9.65,$-1.90,0.0
2020-03-31,5.5,$-1.45,0.0
2019-12-31,9.25,$-0.50,0.0
2019-09-30,15.97,$2.00,7.98
2019-06-30,17.5,$1.75,10.0
2019-03-31,22.0,$3.00,7.33
2018-12-31,11.51,$4.75,2.42
2018-09-30,43.5,$3.50,12.43
2018-06-30,41.75,$6.75,6.19
2018-03-31,54.0,$6.00,9.0
2017-12-31,60.0,$3.50,17.14
2017-09-30,41.5,$2.25,18.44
2017-06-30,37.75,$-0.25,0.0
2017-03-31,41.5,$-1.50,0.0
2016-12-31,48.25,$-0.50,0.0
2016-09-30,90.75,$0.25,363.0
2016-06-30,10.5,0,0.0
2016-03-31,29.25,$0.50,58.5
2015-12-31,45.0,$2.50,18.0
2015-09-30,57.0,$4.00,14.25
2015-06-30,46.75,$7.75,6.03
2015-03-31,62.5,$12.00,5.21
2014-12-31,70.25,$10.50,6.69
2014-09-30,107.5,$10.00,10.75
2014-06-30,116.75,$6.25,18.68
2014-03-31,199.0,$2.25,88.44
2013-12-31,112.75,$1.75,64.43
2013-09-30,106.25,0,0.0
2013-06-30,103.75,0,0.0
2013-03-31,75.0,0,0.0
2012-12-31,51.25,0,0.0
2012-09-30,55.0,0,0.0
