PubMatic PE Ratio Historical Data,PubMatic PE Ratio Historical Data,PubMatic PE Ratio Historical Data,PubMatic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.73,,42.3
2024-12-31,14.69,$0.23,63.87
2024-09-30,14.87,$0.31,47.97
2024-06-30,20.31,$0.36,56.42
2024-03-31,23.72,$0.21,112.95
2023-12-31,16.31,$0.15,108.73
2023-09-30,12.1,$0.03,403.33
2023-06-30,18.28,$0.06,304.67
2023-03-31,13.82,$0.31,44.58
2022-12-31,12.81,$0.50,25.62
2022-09-30,16.63,$0.78,21.32
2022-06-30,15.89,$0.96,16.55
2022-03-31,26.12,$1.00,26.12
2021-12-31,34.05,$1.01,33.71
2021-09-30,26.35,$0.85,31.0
