Focus Universal PE Ratio Historical Data,Focus Universal PE Ratio Historical Data,Focus Universal PE Ratio Historical Data,Focus Universal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.3,,0.0
2024-12-31,0.35,$-0.20,0.0
2024-09-30,0.26,$-0.50,0.0
2024-06-30,0.24,$-0.80,0.0
2024-03-31,0.41,$-0.80,0.0
2023-12-31,1.46,$-0.80,0.0
2023-09-30,1.94,$-0.70,0.0
2023-06-30,1.53,$-0.70,0.0
2023-03-31,2.5,$-0.60,0.0
2022-12-31,4.27,$-0.70,0.0
2022-09-30,6.25,$-0.50,0.0
2022-06-30,7.61,$-0.60,0.0
