CSW Industrials PE Ratio Historical Data,CSW Industrials PE Ratio Historical Data,CSW Industrials PE Ratio Historical Data,CSW Industrials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,292.66,,34.97
2024-12-31,352.8,$8.37,42.15
2024-09-30,366.15,$7.36,49.75
2024-06-30,264.95,$7.03,37.69
2024-03-31,234.08,$6.53,35.85
2023-12-31,206.76,$6.23,33.19
2023-09-30,174.5,$6.65,26.24
2023-06-30,165.31,$6.29,26.28
2023-03-31,138.0,$6.20,22.26
2022-12-31,115.01,$5.63,20.43
2022-09-30,118.69,$5.14,23.09
2022-06-30,101.93,$4.71,21.64
2022-03-31,116.15,$4.10,28.33
2021-12-31,119.22,$3.54,33.68
2021-09-30,125.83,$3.18,39.57
2021-06-30,116.57,$3.14,37.13
2021-03-31,132.71,$2.68,49.52
2020-12-31,109.89,$3.03,36.27
2020-09-30,75.73,$3.35,22.61
2020-06-30,67.61,$2.83,23.89
2020-03-31,63.32,$3.02,20.97
2019-12-31,75.05,$2.97,25.27
2019-09-30,67.15,$2.81,23.9
2019-06-30,66.17,$3.20,20.68
2019-03-31,55.5,$2.93,18.94
2018-12-31,46.84,$2.42,19.36
2018-09-30,52.03,$-0.07,0.0
2018-06-30,51.2,$-0.58,0.0
2018-03-31,43.65,$-0.77,0.0
2017-12-31,44.52,$-1.00,0.0
2017-09-30,42.97,$1.20,35.81
2017-06-30,37.44,$0.98,38.21
2017-03-31,35.56,$0.70,50.79
2016-12-31,35.7,$0.65,54.92
2016-09-30,31.38,$0.75,41.84
