Ring Energy PE Ratio Historical Data,Ring Energy PE Ratio Historical Data,Ring Energy PE Ratio Historical Data,Ring Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.24,,3.65
2024-12-31,1.36,$0.34,4.0
2024-09-30,1.6,$0.57,2.81
2024-06-30,1.69,$0.36,4.69
2024-03-31,1.96,$0.40,4.9
2023-12-31,1.46,$0.54,2.7
2023-09-30,1.95,$0.36,5.42
2023-06-30,1.71,$0.89,1.92
2023-03-31,1.9,$1.06,1.79
2022-12-31,2.46,$0.95,2.59
2022-09-30,2.32,$1.07,2.17
2022-06-30,2.66,$0.70,3.8
2022-03-31,3.82,$0.22,17.36
2021-12-31,2.28,$-0.03,0.0
2021-09-30,2.95,$-2.06,0.0
2021-06-30,2.98,$-2.21,0.0
2021-03-31,2.31,$-4.04,0.0
2020-12-31,0.66,$-3.21,0.0
2020-09-30,0.68,$-1.31,0.0
2020-06-30,1.16,$-1.13,0.0
2020-03-31,0.66,$1.04,0.63
2019-12-31,2.64,$0.57,4.63
2019-09-30,1.64,$0.39,4.21
2019-06-30,3.25,$0.33,9.85
2019-03-31,5.87,$0.23,25.52
2018-12-31,5.08,$0.16,31.75
2018-09-30,9.91,$0.19,52.16
2018-06-30,12.62,$0.16,78.88
2018-03-31,14.35,$0.12,119.58
2017-12-31,13.9,$0.05,278.0
2017-09-30,14.49,$0.12,120.75
2017-06-30,13.0,$-0.08,0.0
2017-03-31,10.82,$-0.53,0.0
2016-12-31,12.99,$-1.06,0.0
2016-09-30,10.95,$-1.30,0.0
2016-06-30,8.82,$-1.20,0.0
2016-03-31,5.05,$-0.77,0.0
2015-12-31,7.05,$-0.31,0.0
2015-09-30,9.87,$0.04,246.75
2015-06-30,11.19,$0.14,79.93
2015-03-31,10.62,$0.23,46.17
2014-12-31,10.5,$0.32,32.81
2014-09-30,14.74,$0.30,49.13
2014-06-30,17.45,$0.23,75.87
2014-03-31,15.26,$0.12,127.17
2013-12-31,12.2,0,0.0
2013-09-30,14.5,$-0.08,0.0
2013-06-30,8.76,$-0.07,0.0
2013-03-31,6.95,$-0.07,0.0
2012-12-31,5.86,0,0.0
2012-09-30,5.82,0,0.0
2012-06-30,5.12,0,0.0
2012-03-31,5.1,0,0.0
2011-12-31,4.0,0,0.0
2011-09-30,4.5,0,0.0
2011-06-30,12.2,0,0.0
2011-03-31,4.0,0,0.0
2010-12-31,4.0,0,0.0
2010-09-30,4.0,0,0.0
2010-06-30,4.0,0,0.0
2010-03-31,4.0,0,0.0
2009-12-31,4.0,0,0.0
