Sony PE Ratio Historical Data,Sony PE Ratio Historical Data,Sony PE Ratio Historical Data,Sony PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.89,,20.2
2024-12-31,21.16,$1.23,17.18
2024-09-30,19.31,$1.22,15.81
2024-06-30,16.93,$1.08,15.74
2024-03-31,17.09,$1.09,15.71
2023-12-31,18.81,$1.04,18.16
2023-09-30,16.37,$1.01,16.21
2023-06-30,17.83,$1.09,16.3
2023-03-31,17.95,$1.11,16.2
2022-12-31,15.06,$1.11,13.61
2022-09-30,12.64,$1.22,10.36
2022-06-30,16.08,$1.22,13.16
2022-03-31,20.19,$1.26,16.0
2021-12-31,24.8,$1.27,19.53
2021-09-30,21.7,$1.35,16.05
2021-06-30,19.03,$1.74,10.96
2021-03-31,20.75,$1.77,11.7
2020-12-31,19.75,$1.63,12.12
2020-09-30,15.0,$1.40,10.74
2020-06-30,13.47,$0.98,13.74
2020-03-31,11.53,$0.85,13.59
2019-12-31,13.2,$0.95,13.83
2019-09-30,11.47,$1.20,9.53
2019-06-30,10.13,$1.17,8.69
2019-03-31,8.17,$1.27,6.43
2018-12-31,9.3,$1.12,8.29
2018-09-30,11.68,$0.94,12.4
2018-06-30,9.85,$0.88,11.17
2018-03-31,9.29,$0.67,13.78
2017-12-31,8.61,$0.74,11.7
2017-09-30,7.16,$0.36,20.1
2017-06-30,7.3,$0.18,39.65
2017-03-31,6.44,$0.10,61.96
2016-12-31,5.34,$-0.06,0.0
2016-09-30,6.33,$0.07,87.88
2016-06-30,5.58,$0.11,51.64
2016-03-31,4.89,$0.19,25.46
2015-12-31,4.66,$0.16,28.41
2015-09-30,4.64,$0.13,34.62
2015-06-30,5.36,$-0.14,0.0
2015-03-31,5.05,$-0.21,0.0
2014-12-31,3.86,$-0.31,0.0
2014-09-30,3.41,$-0.40,0.0
2014-06-30,3.17,$-0.21,0.0
2014-03-31,3.61,$-0.25,0.0
2013-12-31,3.26,$0.18,17.74
2013-09-30,4.06,$0.12,35.02
2013-06-30,3.98,$0.11,34.92
2013-03-31,3.27,$0.05,71.06
2012-12-31,2.09,$-0.75,0.0
2012-09-30,2.18,$-1.13,0.0
2012-06-30,2.62,$-1.16,0.0
2012-03-31,3.83,$-1.13,0.0
2011-12-31,3.3,$-1.45,0.0
2011-09-30,3.47,$-0.86,0.0
2011-06-30,4.79,$-0.72,0.0
2011-03-31,5.78,$-0.62,0.0
2010-12-31,6.45,$0.19,34.3
2010-09-30,5.58,$0.18,30.67
2010-06-30,4.79,$0.05,95.88
2010-03-31,6.89,$-0.09,0.0
2009-12-31,5.19,$-0.30,0.0
