Byrna Technologies PE Ratio Historical Data,Byrna Technologies PE Ratio Historical Data,Byrna Technologies PE Ratio Historical Data,Byrna Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.03,,35.24
2024-11-30,19.33,$0.54,35.8
2024-08-31,11.59,$0.09,128.78
2024-05-31,11.69,$-0.14,0.0
2024-02-29,11.97,$-0.28,0.0
2023-11-30,5.85,$-0.38,0.0
2023-08-31,3.45,$-0.35,0.0
2023-05-31,4.67,$-0.23,0.0
2023-02-28,8.27,$-0.31,0.0
2022-11-30,8.66,$-0.35,0.0
2022-08-31,8.93,$-0.48,0.0
2022-05-31,8.06,$-0.49,0.0
2022-02-28,10.01,$-0.31,0.0
2021-11-30,14.72,$-0.17,0.0
2021-08-31,29.28,$-0.13,0.0
2021-05-31,24.0,$-0.05,0.0
2021-02-28,14.4,$-0.80,0.0
2020-11-30,14.4,$-1.00,0.0
