Bruker PE Ratio Historical Data,Bruker PE Ratio Historical Data,Bruker PE Ratio Historical Data,Bruker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.47,,58.51
2024-12-31,58.62,$0.76,77.13
2024-09-30,69.0,$2.08,33.17
2024-06-30,63.71,$2.41,26.43
2024-03-31,93.72,$2.75,34.08
2023-12-31,73.26,$2.92,25.09
2023-09-30,62.07,$2.17,28.6
2023-06-30,73.59,$2.16,34.07
2023-03-31,78.43,$2.10,37.35
2022-12-31,67.95,$1.99,34.14
2022-09-30,52.71,$1.83,28.8
2022-06-30,62.29,$1.81,34.41
2022-03-31,63.76,$1.86,34.28
2021-12-31,83.15,$1.82,45.69
2021-09-30,77.36,$1.77,43.7
2021-06-30,75.22,$1.55,48.53
2021-03-31,63.6,$1.33,47.82
2020-12-31,53.52,$1.03,51.96
2020-09-30,39.27,$1.02,38.5
2020-06-30,40.15,$1.06,37.88
2020-03-31,35.36,$1.13,31.3
2019-12-31,50.22,$1.26,39.86
2019-09-30,43.25,$1.32,32.76
2019-06-30,49.13,$1.21,40.6
2019-03-31,37.77,$1.18,32.01
2018-12-31,29.22,$1.15,25.41
2018-09-30,32.8,$0.63,52.06
2018-06-30,28.44,$0.58,49.04
2018-03-31,29.26,$0.53,55.21
2017-12-31,33.52,$0.49,68.41
2017-09-30,29.02,$0.94,30.88
2017-06-30,28.1,$1.00,28.1
2017-03-31,22.7,$0.94,24.15
2016-12-31,20.57,$0.95,21.65
2016-09-30,21.96,$0.88,24.95
2016-06-30,22.01,$0.66,33.34
2016-03-31,27.06,$0.70,38.65
2015-12-31,23.42,$0.60,39.03
2015-09-30,15.85,$0.39,40.65
2015-06-30,19.69,$0.35,56.27
2015-03-31,17.82,$0.32,55.7
2014-12-31,18.93,$0.33,57.37
2014-09-30,17.87,$0.39,45.81
2014-06-30,23.42,$0.46,50.91
2014-03-31,21.99,$0.50,43.98
2013-12-31,19.08,$0.48,39.74
2013-09-30,19.93,$0.35,56.93
2013-06-30,15.58,$0.49,31.8
2013-03-31,18.43,$0.41,44.95
2012-12-31,14.7,$0.47,31.28
2012-09-30,12.63,$0.62,20.37
2012-06-30,12.84,$0.50,25.69
2012-03-31,14.77,$0.57,25.92
2011-12-31,11.98,$0.55,21.79
2011-09-30,13.06,$0.50,26.11
2011-06-30,19.65,$0.55,35.72
2011-03-31,20.12,$0.56,35.93
2010-12-31,16.02,$0.59,27.15
2010-09-30,13.54,$0.67,20.21
2010-06-30,11.73,$0.60,19.56
2010-03-31,14.14,$0.54,26.18
2009-12-31,11.64,$0.49,23.75
