KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.09,,0.0
2024-12-31,17.14,$-0.30,0.0
2024-09-30,16.57,$0.01,1656.94
2024-06-30,13.89,$0.77,18.03
2024-03-31,15.23,$0.79,19.28
2023-12-31,13.67,$0.89,15.36
2023-09-30,10.04,$1.24,8.1
2023-06-30,8.46,$1.50,5.64
2023-03-31,11.23,$1.77,6.35
2022-12-31,15.46,$1.92,8.05
2022-09-30,14.06,$2.18,6.45
2022-06-30,14.96,$2.28,6.56
2022-03-31,19.24,$2.47,7.79
2021-12-31,19.73,$2.63,7.5
2021-09-30,18.28,$2.56,7.14
2021-06-30,17.3,$2.32,7.46
2021-03-31,16.61,$1.76,9.44
2020-12-31,13.52,$1.27,10.65
2020-09-30,9.71,$1.15,8.45
2020-06-30,9.77,$1.13,8.65
2020-03-31,8.19,$1.36,6.02
2019-12-31,15.81,$1.62,9.76
2019-09-30,13.8,$1.62,8.52
2019-06-30,13.58,$1.68,8.08
2019-03-31,11.93,$1.72,6.93
2018-12-31,11.08,$1.72,6.44
2018-09-30,14.78,$1.44,10.26
2018-06-30,14.4,$1.31,10.99
2018-03-31,14.32,$1.23,11.64
2017-12-31,14.7,$1.12,13.13
2017-09-30,13.64,$1.14,11.97
2017-06-30,13.51,$0.98,13.79
2017-03-31,12.75,$0.85,15.0
2016-12-31,13.04,$0.80,16.3
2016-09-30,8.65,$0.87,9.94
2016-06-30,7.79,$0.96,8.12
2016-03-31,7.73,$1.00,7.73
2015-12-31,9.18,$1.04,8.82
2015-09-30,9.0,$1.06,8.49
2015-06-30,10.33,$1.04,9.94
2015-03-31,9.69,$1.01,9.6
2014-12-31,9.47,$1.01,9.38
2014-09-30,9.04,$0.98,9.22
2014-06-30,9.67,$1.04,9.3
2014-03-31,9.56,$1.02,9.38
2013-12-31,8.97,$0.97,9.25
2013-09-30,7.59,$0.93,8.16
2013-06-30,7.32,$0.87,8.41
2013-03-31,6.57,$0.89,7.38
2012-12-31,5.52,$0.88,6.28
2012-09-30,5.7,$0.87,6.55
2012-06-30,5.02,$0.86,5.83
2012-03-31,5.47,$0.87,6.29
2011-12-31,4.93,$0.86,5.74
2011-09-30,3.79,$0.98,3.86
2011-06-30,5.3,$0.96,5.52
2011-03-31,5.62,$0.74,7.6
2010-12-31,5.6,$0.44,12.73
2010-09-30,5.03,$-0.18,0.0
2010-06-30,4.85,$-0.90,0.0
2010-03-31,4.88,$-1.61,0.0
2009-12-31,3.49,$-2.59,0.0
