First Majestic Silver PE Ratio Historical Data,First Majestic Silver PE Ratio Historical Data,First Majestic Silver PE Ratio Historical Data,First Majestic Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.06,,0.0
2024-09-30,6.0,$-0.27,0.0
2024-06-30,5.91,$-0.27,0.0
2024-03-31,5.87,$-0.16,0.0
2023-12-31,6.13,$-0.48,0.0
2023-09-30,5.11,$-0.58,0.0
2023-06-30,5.62,$-0.57,0.0
2023-03-31,7.17,$-0.83,0.0
2022-12-31,8.29,$-0.43,0.0
2022-09-30,7.57,$-0.39,0.0
2022-06-30,7.12,$-0.38,0.0
2022-03-31,13.05,$-0.00,0.0
2021-12-31,11.01,$-0.02,0.0
2021-09-30,11.19,$0.15,74.61
2021-06-30,15.65,$0.36,43.48
2021-03-31,15.42,$0.25,61.68
2020-12-31,13.3,$0.09,147.79
2020-09-30,9.42,$-0.25,0.0
2020-06-30,9.85,$-0.35,0.0
2020-03-31,6.13,$-0.36,0.0
2019-12-31,12.13,$-0.20,0.0
2019-09-30,9.0,$-0.86,0.0
2019-06-30,7.83,$-0.87,0.0
2019-03-31,6.51,$-1.03,0.0
2018-12-31,5.83,$-1.07,0.0
2018-09-30,5.62,$-0.56,0.0
2018-06-30,7.55,$-0.60,0.0
2018-03-31,6.05,$-0.37,0.0
2017-12-31,6.67,$-0.32,0.0
2017-09-30,6.77,$0.03,225.64
2017-06-30,8.22,$0.09,91.38
2017-03-31,8.04,$0.12,66.97
2016-12-31,7.55,$0.05,151.02
2016-09-30,10.19,$-0.62,0.0
2016-06-30,13.44,$-0.68,0.0
2016-03-31,6.41,$-0.74,0.0
2015-12-31,3.24,$-0.70,0.0
2015-09-30,3.17,$-0.59,0.0
2015-06-30,4.78,$-0.67,0.0
2015-03-31,5.35,$-0.59,0.0
2014-12-31,4.97,$-0.53,0.0
2014-09-30,7.72,$-0.67,0.0
2014-06-30,10.7,$-0.44,0.0
2014-03-31,9.54,$-0.50,0.0
2013-12-31,9.7,$-0.32,0.0
2013-09-30,11.74,$0.56,20.96
2013-06-30,10.48,$0.63,16.64
2013-03-31,16.0,$0.77,20.78
2012-12-31,19.98,$0.79,25.29
2012-09-30,22.93,$0.80,28.66
2012-06-30,14.3,$0.86,16.63
2012-03-31,16.41,$1.02,16.09
2011-12-31,16.67,$1.00,16.67
2011-09-30,15.05,$0.94,16.01
2011-06-30,18.25,$0.77,23.7
2011-03-31,21.02,$0.56,37.54
2010-12-31,14.37,$0.33,43.55
2010-09-30,6.75,$0.22,30.68
2010-06-30,3.99,$0.14,28.49
2010-03-31,3.1,$0.06,51.63
2009-12-31,3.9,$0.07,55.7
