Profire Energy PE Ratio Historical Data,Profire Energy PE Ratio Historical Data,Profire Energy PE Ratio Historical Data,Profire Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,2.54,,13.37
2024-09-30,1.68,$0.19,8.84
2024-06-30,1.42,$0.21,6.76
2023-12-31,1.81,$0.22,8.23
2023-09-30,2.78,$0.19,14.63
2023-06-30,1.23,$0.18,6.83
2023-03-31,1.24,$0.14,8.86
2022-12-31,1.06,$0.10,10.6
2024-03-31,1.85,$0.07,26.43
2022-09-30,0.85,$0.04,21.26
2022-06-30,1.44,$0.02,72.0
2022-03-31,1.3,0,0.0
2021-12-31,1.06,$-0.02,0.0
2021-09-30,1.15,$-0.02,0.0
2021-06-30,1.13,$-0.04,0.0
2021-03-31,1.1,$-0.05,0.0
2020-12-31,0.85,$-0.05,0.0
2020-09-30,0.74,$-0.08,0.0
2020-06-30,0.84,$-0.04,0.0
2020-03-31,0.79,$0.00,0.0
2019-12-31,1.45,$0.04,36.25
2019-09-30,1.89,$0.09,21.0
2019-06-30,1.51,$0.10,15.1
2019-03-31,1.79,$0.11,16.27
2018-12-31,1.45,$0.12,12.08
2018-09-30,3.19,$0.13,24.54
2018-06-30,3.38,$0.12,28.17
2018-03-31,2.73,$0.12,22.75
2017-12-31,1.92,$0.09,21.33
2017-09-30,1.99,$0.06,33.17
2017-06-30,1.3,$0.04,32.5
2017-03-31,1.41,0,0.0
2016-12-31,1.38,$-0.02,0.0
2016-09-30,1.24,$-0.01,0.0
2016-06-30,1.11,0,0.0
2016-03-31,0.97,0,0.0
2015-12-31,0.99,$0.01,99.0
2015-09-30,0.96,$0.04,24.0
2015-06-30,1.12,$0.07,16.0
2015-03-31,1.35,$0.13,10.38
2014-12-31,2.28,$0.13,17.54
2014-09-30,4.15,$0.12,34.58
2014-06-30,4.51,$0.12,37.58
2014-03-31,3.27,$0.11,29.73
2013-12-31,3.65,$0.11,33.18
2013-09-30,2.2,$0.07,31.43
2013-06-30,1.37,$0.04,34.25
2013-03-31,1.4,$0.01,140.0
2012-12-31,1.39,$0.01,139.0
2012-09-30,1.35,$0.02,67.5
2012-06-30,1.3,$0.01,130.0
2012-03-31,1.65,0,0.0
2011-12-31,0.75,0,0.0
2011-09-30,0.98,0,0.0
2011-06-30,0.25,0,0.0
2011-03-31,0.48,0,0.0
2010-12-31,0.25,0,0.0
