Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,112.07,,28.02
2024-12-31,105.7,$4.00,26.43
2024-09-30,125.18,$3.31,37.82
2024-06-30,110.51,$3.03,36.47
2024-03-31,127.03,$3.42,37.14
2023-12-31,129.08,$3.29,39.23
2023-09-30,107.96,$3.24,33.32
2023-06-30,117.15,$3.80,30.83
2023-03-31,118.35,$3.31,35.76
2022-12-31,106.16,$4.35,24.41
2022-09-30,95.01,$5.39,17.63
2022-06-30,109.31,$5.00,21.86
2022-03-31,149.01,$4.99,29.86
2021-12-31,154.58,$3.94,39.23
2021-09-30,114.71,$2.65,43.29
2021-06-30,108.8,$2.08,52.31
2021-03-31,95.99,$1.81,53.04
2020-12-31,89.7,$2.02,44.41
2020-09-30,90.04,$2.25,40.02
2020-06-30,83.05,$2.56,32.44
2020-03-31,71.08,$2.62,27.13
2019-12-31,78.25,$2.47,31.68
2019-09-30,74.36,$2.80,26.56
2019-06-30,69.46,$2.69,25.82
2019-03-31,61.98,$2.71,22.87
2018-12-31,50.21,$2.84,17.68
2018-09-30,57.52,$2.45,23.48
2018-06-30,55.34,$3.48,15.9
2018-03-31,52.67,$3.36,15.68
2017-12-31,53.54,$3.06,17.5
2017-09-30,52.32,$3.33,15.71
2017-06-30,48.02,$2.22,21.63
2017-03-31,42.16,$2.24,18.82
2016-12-31,42.52,$2.25,18.9
2016-09-30,42.77,$1.66,25.77
2016-06-30,38.86,$1.63,23.84
2016-03-31,34.72,$1.38,25.16
2015-12-31,33.39,$1.64,20.36
2015-09-30,29.98,$2.22,13.5
2015-06-30,28.29,$1.96,14.43
2015-03-31,32.91,$1.82,18.08
2014-12-31,32.24,$1.18,27.32
2014-09-30,28.02,$0.49,57.19
2014-06-30,30.29,$0.24,126.19
2014-03-31,29.86,$0.11,271.42
2013-12-31,26.8,$0.67,40.0
2013-09-30,27.08,$0.05,541.51
2013-06-30,26.94,$-0.03,0.0
2013-03-31,28.35,$-0.05,0.0
2012-12-31,25.7,$-0.20,0.0
2012-09-30,24.47,$0.20,122.36
2012-06-30,23.04,$0.42,54.85
2012-03-31,24.75,$-0.05,0.0
2011-12-31,19.48,$-0.42,0.0
2011-09-30,16.36,$-0.29,0.0
2011-06-30,23.93,$-0.37,0.0
2011-03-31,23.83,$0.14,170.21
2010-12-31,20.83,$0.06,347.25
2010-09-30,17.06,$-0.02,0.0
2010-06-30,15.1,$0.37,40.81
2010-03-31,17.35,$0.47,36.91
2009-12-31,16.11,$-0.74,0.0
