Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,210.18,,12.37
2024-12-31,192.79,$16.99,11.35
2024-09-30,188.81,$15.44,12.23
2024-06-30,158.18,$10.95,14.45
2024-03-31,171.41,$4.53,37.84
2023-12-31,137.87,$-1.24,0.0
2023-09-30,109.01,$-7.93,0.0
2023-06-30,105.83,$-10.35,0.0
2023-03-31,106.68,$-8.87,0.0
2022-12-31,129.65,$-5.32,0.0
2022-09-30,118.31,$-1.42,0.0
2022-06-30,119.57,$2.87,41.66
2022-03-31,129.87,$11.94,10.88
2021-12-31,109.56,$5.10,21.48
2021-09-30,117.71,$10.82,10.88
2021-06-30,119.88,$12.69,9.45
2021-03-31,104.98,$11.29,9.3
2020-12-31,99.71,$17.48,5.7
2020-09-30,84.95,$14.26,5.96
2020-06-30,87.02,$13.35,6.52
2020-03-31,81.85,$11.93,6.86
2019-12-31,99.83,$14.08,7.09
2019-09-30,96.05,$7.94,12.1
2019-06-30,89.44,$7.64,11.71
2019-03-31,82.4,$7.00,11.77
2018-12-31,71.91,$5.89,12.21
2018-09-30,85.9,$10.15,8.46
2018-06-30,79.07,$9.52,8.31
2018-03-31,81.73,$9.21,8.87
2017-12-31,89.82,$8.37,10.73
2017-09-30,78.56,$7.20,10.91
2017-06-30,75.28,$6.77,11.12
2017-03-31,69.07,$5.92,11.67
2016-12-31,62.54,$4.70,13.31
2016-09-30,58.11,$3.70,15.7
2016-06-30,58.47,$3.93,14.88
2016-03-31,56.04,$4.08,13.74
2015-12-31,51.39,$5.04,10.2
2015-09-30,47.97,$5.72,8.39
2015-06-30,53.16,$5.92,8.98
2015-03-31,58.06,$6.52,8.91
2014-12-31,57.07,$6.29,9.07
2014-09-30,49.65,$6.19,8.02
2014-06-30,47.29,$5.11,9.26
2014-03-31,45.35,$4.64,9.77
2013-12-31,43.49,$4.81,9.04
2013-09-30,40.13,$3.86,10.4
2013-06-30,38.0,$4.68,8.12
2013-03-31,38.55,$4.62,8.34
2012-12-31,31.39,$4.68,6.71
2012-09-30,30.78,$5.30,5.81
2012-06-30,27.11,$4.14,6.55
2012-03-31,25.27,$2.09,12.09
2011-12-31,20.89,$1.53,13.65
2011-09-30,17.91,$0.65,27.55
2011-06-30,22.9,$1.01,22.67
2011-03-31,23.67,$2.47,9.58
2010-12-31,23.59,$1.72,13.72
2010-09-30,23.19,$2.13,10.89
2010-06-30,20.97,$1.86,11.27
2010-03-31,23.42,$2.31,10.14
2009-12-31,21.64,$1.58,13.7
