Austin Gold PE Ratio Historical Data,Austin Gold PE Ratio Historical Data,Austin Gold PE Ratio Historical Data,Austin Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.52,,0.0
2024-09-30,1.14,$-0.31,0.0
2024-06-30,1.2,$-0.26,0.0
2024-03-31,1.21,$-0.32,0.0
2023-12-31,0.74,$-0.30,0.0
2023-09-30,0.75,$-0.22,0.0
2023-06-30,0.89,$-0.16,0.0
2023-03-31,1.14,$-0.09,0.0
