QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,157.95,,16.88
2024-12-31,153.62,$9.36,16.41
2024-09-30,169.15,$8.99,18.82
2024-06-30,197.11,$7.72,25.53
2024-03-31,166.85,$7.44,22.43
2023-12-31,141.8,$6.90,20.55
2023-09-30,108.21,$6.42,16.86
2023-06-30,115.18,$7.64,15.08
2023-03-31,122.57,$9.33,13.14
2022-12-31,104.99,$10.38,10.11
2022-09-30,107.26,$11.38,9.43
2022-06-30,120.59,$11.29,10.68
2022-03-31,143.49,$9.77,14.69
2021-12-31,171.02,$8.73,19.59
2021-09-30,120.16,$7.87,15.27
2021-06-30,132.54,$8.00,16.57
2021-03-31,122.33,$6.97,17.55
2020-12-31,139.83,$5.85,23.9
2020-09-30,107.55,$4.53,23.74
2020-06-30,82.92,$2.37,34.99
2020-03-31,61.03,$3.38,18.06
2019-12-31,79.0,$3.52,22.44
2019-09-30,67.78,$3.59,18.88
2019-06-30,67.08,$2.82,23.79
2019-03-31,49.83,$1.89,26.36
2018-12-31,49.17,$1.58,31.12
2018-09-30,61.56,$-3.32,0.0
2018-06-30,47.54,$-2.86,0.0
2018-03-31,46.45,$-3.10,0.0
2017-12-31,53.21,$-2.84,0.0
2017-09-30,42.73,$1.65,25.9
2017-06-30,45.02,$2.61,17.25
2017-03-31,46.29,$3.00,15.43
2016-12-31,52.15,$3.28,15.9
2016-09-30,54.36,$3.81,14.27
2016-06-30,42.15,$3.41,12.36
2016-03-31,39.86,$3.17,12.57
2015-12-31,38.59,$3.02,12.78
2015-09-30,41.08,$3.20,12.84
2015-06-30,47.48,$3.64,13.04
2015-03-31,52.21,$4.22,12.37
2014-12-31,55.64,$4.73,11.76
2014-09-30,55.65,$4.65,11.97
2014-06-30,58.62,$4.40,13.32
2014-03-31,58.07,$3.99,14.55
2013-12-31,54.41,$3.91,13.92
2013-09-30,49.1,$3.91,12.56
2013-06-30,44.32,$3.78,11.73
2013-03-31,48.3,$3.57,13.53
2012-12-31,44.47,$3.79,11.73
2012-09-30,44.73,$3.51,12.74
2012-06-30,39.71,$3.40,11.68
2012-03-31,48.32,$3.32,14.56
2011-12-31,38.7,$2.63,14.72
2011-09-30,34.27,$2.53,13.55
2011-06-30,39.85,$2.44,16.33
2011-03-31,38.33,$2.30,16.66
2010-12-31,34.48,$2.17,15.89
2010-09-30,31.32,$1.96,15.98
2010-06-30,22.68,$1.91,11.87
2010-03-31,28.82,$1.88,15.33
2009-12-31,31.63,$1.24,25.51
