Tharimmune PE Ratio Historical Data,Tharimmune PE Ratio Historical Data,Tharimmune PE Ratio Historical Data,Tharimmune PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.55,,0.0
2024-09-30,2.48,$-7.72,0.0
2024-06-30,3.53,$-46.50,0.0
2024-03-31,0.43,$-104.05,0.0
2023-12-31,0.51,$-187.41,0.0
2023-09-30,0.2,$-243.63,0.0
2023-06-30,0.36,$-269.87,0.0
2023-03-31,0.79,$-262.37,0.0
2022-12-31,0.39,$-281.11,0.0
