AIX PE Ratio Historical Data,AIX PE Ratio Historical Data,AIX PE Ratio Historical Data,AIX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.32,,0.56
2024-06-30,1.99,$0.57,3.49
2023-12-31,6.65,$0.73,9.11
2023-09-30,7.21,$0.99,7.28
2023-06-30,8.31,$0.64,12.98
2023-03-31,8.68,$0.53,16.38
2022-12-31,7.4,$0.26,28.46
2022-09-30,5.02,$0.10,50.2
2022-06-30,5.17,$0.11,47.0
2022-03-31,5.52,$0.21,26.3
2021-12-31,5.52,$0.71,7.78
2021-09-30,9.02,$0.82,10.99
2021-06-30,11.18,$0.93,12.02
2021-03-31,10.21,$1.00,10.21
2020-12-31,8.67,$0.73,11.87
2020-09-30,11.85,$-0.01,0.0
2020-06-30,13.98,$0.22,63.56
2020-03-31,13.69,$0.22,62.25
2019-12-31,17.68,$0.49,36.07
2019-09-30,17.92,$1.53,11.71
2019-06-30,22.27,$1.39,16.02
2019-03-31,17.31,$1.40,12.36
2018-09-30,17.45,$1.33,13.12
2017-12-31,13.6,$1.06,12.83
2017-09-30,7.84,$0.94,8.34
2017-06-30,5.34,$0.75,7.12
2017-03-31,5.3,$0.51,10.4
2016-12-31,5.09,$0.39,13.05
2016-09-30,4.73,$0.35,13.52
2016-06-30,4.37,$0.38,11.5
2016-03-31,4.93,$0.51,9.66
2015-12-31,5.7,$0.55,10.37
2015-09-30,4.7,$0.50,9.4
2015-06-30,5.43,$0.50,10.85
2015-03-31,5.3,$0.47,11.28
2014-12-31,4.07,$0.52,7.84
2014-09-30,3.38,$0.51,6.63
2014-06-30,4.22,$0.49,8.6
2014-03-31,4.61,$0.38,12.13
2013-12-31,3.71,$0.31,11.97
2013-09-30,3.23,$0.29,11.13
2013-06-30,3.71,$0.27,13.72
2013-03-31,3.71,$0.30,12.35
2012-12-31,4.03,$0.40,10.06
2012-09-30,3.56,$-1.94,0.0
2012-06-30,4.2,$-1.77,0.0
2012-03-31,3.84,$-1.57,0.0
2011-12-31,4.25,$-1.02,0.0
2011-09-30,4.3,$1.63,2.64
2011-06-30,9.05,$1.71,5.29
2011-03-31,7.96,$1.77,4.5
2010-12-31,10.63,$1.26,8.43
2010-09-30,14.28,$1.18,12.1
2010-06-30,15.94,$1.10,14.49
2010-03-31,16.2,$1.01,16.04
2009-12-31,12.22,$0.95,12.87
