KLX Energy Services Holdings PE Ratio Historical Data,KLX Energy Services Holdings PE Ratio Historical Data,KLX Energy Services Holdings PE Ratio Historical Data,KLX Energy Services Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.83,,0.0
2024-12-31,4.98,$-2.38,0.0
2024-09-30,5.47,$-2.96,0.0
2024-06-30,4.95,$-1.98,0.0
2024-03-31,7.74,$-0.78,0.0
2023-12-31,11.26,$1.25,9.01
2023-09-30,11.85,$2.89,4.1
2023-06-30,9.73,$3.38,2.88
2023-03-31,11.65,$2.00,5.83
2022-12-31,17.31,$-0.63,0.0
2022-09-30,8.23,$-1.69,0.0
2022-06-30,4.33,$-2.65,0.0
2022-03-31,5.17,$-4.17,0.0
2021-12-31,3.1,$-2.19,0.0
2021-10-31,4.38,$-5.17,0.0
2021-09-30,4.76,$-5.17,0.0
2021-07-31,5.96,$-2.98,0.0
2021-06-30,9.55,$-2.98,0.0
2021-04-30,7.71,0,0.0
2021-01-31,8.39,0,0.0
2020-10-31,3.92,0,0.0
2020-07-31,10.0,0,0.0
2020-04-30,6.5,0,0.0
2020-01-31,20.2,0,0.0
2019-10-31,39.7,0,0.0
2019-07-31,78.6,0,0.0
2019-04-30,140.25,0,0.0
