United Bankshares PE Ratio Historical Data,United Bankshares PE Ratio Historical Data,United Bankshares PE Ratio Historical Data,United Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.71,,12.67
2024-12-31,37.55,$2.74,13.7
2024-09-30,36.77,$2.64,13.93
2024-06-30,31.83,$2.65,12.01
2024-03-31,34.7,$2.62,13.25
2023-12-31,36.03,$2.71,13.3
2023-09-30,26.2,$2.86,9.16
2023-06-30,27.82,$2.91,9.56
2023-03-31,32.65,$2.94,11.11
2022-12-31,37.19,$2.81,13.24
2022-09-30,32.56,$2.63,12.38
2022-06-30,31.62,$2.58,12.26
2022-03-31,31.13,$2.60,11.97
2021-12-31,32.05,$2.83,11.33
2021-09-30,31.81,$2.98,10.68
2021-06-30,31.6,$3.07,10.29
2021-03-31,33.09,$2.78,11.9
2020-12-31,27.55,$2.35,11.72
2020-09-30,18.05,$2.26,7.99
2020-06-30,22.93,$2.11,10.87
2020-03-31,18.88,$2.33,8.1
2019-12-31,31.11,$2.55,12.2
2019-09-30,30.2,$2.55,11.84
2019-06-30,29.33,$2.52,11.64
2019-03-31,28.39,$2.49,11.4
2018-12-31,24.15,$2.46,9.82
2018-09-30,27.93,$2.01,13.89
2018-06-30,27.72,$1.93,14.36
2018-03-31,26.6,$1.67,15.93
2017-12-31,25.98,$1.56,16.66
2017-09-30,27.52,$1.90,14.48
2017-06-30,28.74,$1.90,15.13
2017-03-31,30.71,$1.97,15.59
2016-12-31,33.37,$1.99,16.77
2016-09-30,26.99,$1.96,13.77
2016-06-30,26.65,$1.92,13.88
2016-03-31,25.85,$1.98,13.06
2015-12-31,25.82,$1.98,13.04
2015-09-30,26.3,$1.98,13.28
2015-06-30,27.6,$1.96,14.08
2015-03-31,25.58,$1.94,13.18
2014-12-31,25.27,$1.92,13.16
2014-09-30,20.68,$1.83,11.3
2014-06-30,21.41,$1.79,11.96
2014-03-31,20.07,$1.75,11.47
2013-12-31,20.4,$1.70,12.0
2013-09-30,18.61,$1.73,10.76
2013-06-30,16.8,$1.67,10.06
2013-03-31,16.7,$1.65,10.12
2012-12-31,15.1,$1.64,9.21
2012-09-30,15.26,$1.62,9.42
2012-06-30,15.66,$1.64,9.55
2012-03-31,17.24,$1.62,10.64
2011-12-31,16.71,$1.61,10.38
2011-09-30,11.74,$1.65,7.12
2011-06-30,14.12,$1.65,8.56
2011-03-31,15.09,$1.66,9.09
2010-12-31,16.44,$1.65,9.97
2010-09-30,13.87,$1.61,8.61
2010-06-30,13.17,$1.61,8.18
2010-03-31,14.26,$1.39,10.26
2009-12-31,10.74,$1.67,6.43
