Mercury General PE Ratio Historical Data,Mercury General PE Ratio Historical Data,Mercury General PE Ratio Historical Data,Mercury General PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.82,,6.72
2024-12-31,66.48,$8.45,7.87
2024-09-30,62.7,$10.09,6.21
2024-06-30,52.62,$5.77,9.12
2024-03-31,50.78,$3.89,13.05
2023-12-31,36.47,$1.74,20.96
2023-09-30,27.18,$-1.84,0.0
2023-06-30,29.03,$-3.47,0.0
2023-03-31,30.12,$-6.52,0.0
2022-12-31,32.12,$-9.26,0.0
2022-09-30,26.45,$-8.59,0.0
2022-06-30,40.84,$-6.79,0.0
2022-03-31,50.01,$-1.02,0.0
2021-12-31,47.66,$4.47,10.66
2021-09-30,49.41,$6.93,7.13
2021-06-30,57.02,$9.06,6.29
2021-03-31,52.83,$11.21,4.71
2020-12-31,44.88,$6.77,6.63
2020-09-30,35.13,$4.33,8.11
2020-06-30,34.11,$3.43,9.95
2020-03-31,33.58,$0.81,41.46
2019-12-31,39.47,$5.77,6.84
2019-09-30,44.69,$3.72,12.01
2019-06-30,49.42,$3.53,14.0
2019-03-31,39.18,$3.12,12.56
2018-12-31,39.96,$-0.10,0.0
2018-09-30,38.33,$1.74,22.03
2018-06-30,34.4,$1.52,22.63
2018-03-31,34.19,$1.36,25.14
2017-12-31,39.3,$2.62,15.0
2017-09-30,41.2,$1.79,23.02
2017-06-30,38.82,$1.44,26.96
2017-03-31,43.36,$1.39,31.2
2016-12-31,42.36,$1.32,32.09
2016-09-30,38.2,$2.21,17.28
2016-06-30,36.6,$2.00,18.3
2016-03-31,37.75,$1.29,29.27
2015-12-31,31.32,$1.34,23.37
2015-09-30,33.54,$0.54,62.1
2015-06-30,36.49,$0.83,43.96
2015-03-31,37.45,$2.39,15.67
2014-12-31,36.34,$3.24,11.22
2014-09-30,30.96,$3.90,7.94
2014-06-30,29.46,$4.05,7.28
2014-03-31,27.87,$2.15,12.96
2013-12-31,30.32,$2.04,14.86
2013-09-30,29.09,$1.44,20.2
2013-06-30,26.12,$1.93,13.54
2013-03-31,22.22,$2.00,11.11
2012-12-31,22.87,$2.13,10.74
2012-09-30,21.95,$3.90,5.63
2012-06-30,23.31,$2.62,8.9
2012-03-31,24.12,$3.76,6.42
2011-12-31,24.82,$3.48,7.13
2011-09-30,20.58,$1.60,12.86
2011-06-30,20.87,$3.44,6.07
2011-03-31,20.37,$2.73,7.46
2010-12-31,22.04,$2.79,7.9
2010-09-30,20.66,$3.84,5.38
2010-06-30,20.64,$4.92,4.19
2010-03-31,21.48,$6.66,3.22
2009-12-31,19.02,$7.29,2.61
