International Seaways PE Ratio Historical Data,International Seaways PE Ratio Historical Data,International Seaways PE Ratio Historical Data,International Seaways PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.27,,4.2
2024-12-31,35.94,$8.39,4.28
2024-09-30,49.85,$10.35,4.82
2024-06-30,55.42,$10.50,5.28
2024-03-31,48.43,$10.70,4.53
2023-12-31,40.37,$11.25,3.59
2023-09-30,38.8,$12.97,2.99
2023-06-30,31.87,$13.26,2.4
2023-03-31,33.22,$11.53,2.88
2022-12-31,28.22,$7.80,3.62
2022-09-30,26.01,$2.72,9.56
2022-06-30,15.64,$-1.00,0.0
2022-03-31,13.24,$-3.05,0.0
2021-12-31,10.73,$-3.27,0.0
2021-09-30,13.27,$-6.77,0.0
2021-06-30,13.07,$-4.83,0.0
2021-03-31,13.17,$-1.92,0.0
2020-12-31,11.06,$-0.32,0.0
2020-09-30,9.86,$4.40,2.24
2020-06-30,10.99,$3.52,3.12
2020-03-31,16.02,$0.71,22.57
2019-12-31,19.9,$-0.04,0.0
2019-09-30,12.88,$-0.34,0.0
2019-06-30,12.71,$-1.60,0.0
2019-03-31,11.46,$-1.68,0.0
2018-12-31,11.26,$-3.06,0.0
2018-09-30,13.39,$-6.42,0.0
2018-06-30,15.47,$-5.53,0.0
2018-03-31,11.77,$-5.28,0.0
2017-12-31,12.34,$-3.65,0.0
2017-09-30,13.17,$-2.51,0.0
