Wheels Up Experience PE Ratio Historical Data,Wheels Up Experience PE Ratio Historical Data,Wheels Up Experience PE Ratio Historical Data,Wheels Up Experience PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.08,,0.0
2024-12-31,1.65,$-0.36,0.0
2024-09-30,2.42,$-0.50,0.0
2024-06-30,1.89,$-3.93,0.0
2024-03-31,2.87,$-10.07,0.0
2023-12-31,3.43,$-13.93,0.0
2023-09-30,2.07,$-23.39,0.0
2023-06-30,1.17,$-23.48,0.0
2023-03-31,0.63,$-21.00,0.0
2022-12-31,1.03,$-20.60,0.0
2022-09-30,1.15,$-14.10,0.0
2022-06-30,1.95,$-13.00,0.0
