"G Willi-Food, PE Ratio Historical Data","G Willi-Food, PE Ratio Historical Data","G Willi-Food, PE Ratio Historical Data","G Willi-Food, PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.31,,14.43
2024-09-30,10.82,$1.13,9.58
2024-06-30,9.24,$0.83,11.13
2024-03-31,10.05,$0.79,12.72
2023-12-31,10.03,$0.64,15.67
2023-09-30,10.13,$0.68,14.9
2023-06-30,11.82,$0.74,15.97
2023-03-31,13.62,$0.75,18.17
2022-12-31,12.16,$0.85,14.31
2022-09-30,12.17,$0.68,17.9
2022-06-30,13.92,$0.64,21.74
2022-03-31,16.13,$0.89,18.13
2021-12-31,16.42,$1.00,16.42
2021-09-30,17.55,$1.26,13.92
2021-06-30,18.09,$1.60,11.3
2021-03-31,18.6,$1.58,11.77
2020-12-31,17.43,$1.19,14.65
2020-09-30,16.07,$1.14,14.09
2020-06-30,12.69,$0.90,14.11
2020-03-31,9.12,$0.81,11.26
2019-12-31,9.73,$1.11,8.77
2019-09-30,8.96,$0.79,11.34
2019-06-30,8.07,$0.78,10.34
2019-03-31,6.67,$0.67,9.96
2018-12-31,5.69,$0.49,11.62
2018-09-30,5.79,$0.65,8.91
2018-06-30,5.82,$0.62,9.39
2018-03-31,5.78,$0.52,11.12
2017-12-31,5.85,$0.46,12.73
2017-09-30,4.77,$0.17,28.05
2017-06-30,6.19,$0.08,77.36
2017-03-31,4.93,$0.20,24.67
2016-12-31,4.7,$0.21,22.37
2016-09-30,4.13,$0.28,14.73
2016-06-30,3.31,$0.33,10.04
2016-03-31,2.87,$0.18,15.95
2015-12-31,3.19,$0.13,24.55
2015-09-30,3.44,$0.21,16.36
2015-06-30,4.46,$0.17,26.25
2015-03-31,4.36,$0.27,16.16
2014-12-31,5.3,$0.38,13.96
2014-09-30,5.42,$0.53,10.22
2014-06-30,5.73,$0.62,9.24
2014-03-31,5.89,$0.69,8.54
2013-12-31,6.27,$0.71,8.83
2013-09-30,5.53,$0.72,7.68
2013-06-30,5.25,$0.66,7.95
2013-03-31,5.07,$0.57,8.9
2012-12-31,3.64,$0.49,7.42
2012-09-30,3.17,$0.37,8.56
2012-06-30,3.4,$0.29,11.72
2012-03-31,3.39,$0.36,9.42
2011-12-31,3.5,$0.39,8.98
2011-09-30,4.55,$0.48,9.47
2011-06-30,5.42,$0.58,9.34
2011-03-31,6.0,$0.55,10.91
2010-12-31,4.96,$0.60,8.27
2010-09-30,4.9,$0.65,7.54
2010-06-30,4.47,$0.79,5.66
2010-03-31,4.56,$0.80,5.7
2009-12-31,4.82,$0.76,6.34
