Nektar Therapeutics PE Ratio Historical Data,Nektar Therapeutics PE Ratio Historical Data,Nektar Therapeutics PE Ratio Historical Data,Nektar Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.87,,0.0
2024-12-31,0.93,$-0.59,0.0
2024-09-30,1.3,$-0.84,0.0
2024-06-30,1.24,$-0.90,0.0
2024-03-31,0.93,$-0.92,0.0
2023-12-31,0.57,$-1.46,0.0
2023-09-30,0.6,$-1.56,0.0
2023-06-30,0.58,$-1.63,0.0
2023-03-31,0.7,$-2.21,0.0
2022-12-31,2.26,$-1.97,0.0
2022-09-30,3.2,$-2.44,0.0
2022-06-30,3.8,$-2.83,0.0
2022-03-31,5.39,$-2.67,0.0
2021-12-31,13.51,$-2.86,0.0
2021-09-30,17.96,$-2.72,0.0
2021-06-30,17.16,$-2.63,0.0
2021-03-31,20.0,$-2.39,0.0
2020-12-31,17.0,$-2.49,0.0
2020-09-30,16.59,$-2.48,0.0
2020-06-30,23.16,$-2.43,0.0
2020-03-31,17.85,$-2.61,0.0
2019-12-31,21.59,$-2.51,0.0
2019-09-30,18.22,$-2.44,0.0
2019-06-30,35.58,$-2.44,0.0
2019-03-31,33.6,$3.52,9.55
2018-12-31,32.87,$3.60,9.13
2018-09-30,60.96,$3.96,15.39
2018-06-30,48.83,$4.89,9.99
2018-03-31,106.26,$-0.83,0.0
2017-12-31,59.72,$-0.65,0.0
2017-09-30,24.0,$-0.72,0.0
2017-06-30,19.55,$-1.41,0.0
2017-03-31,23.47,$-1.38,0.0
2016-12-31,12.27,$-1.10,0.0
2016-09-30,17.18,$-1.22,0.0
2016-06-30,14.23,$-0.96,0.0
2016-03-31,13.75,$-1.00,0.0
2015-12-31,16.85,$-0.61,0.0
2015-09-30,10.96,$-0.56,0.0
2015-06-30,12.51,$0.03,417.0
2015-03-31,11.0,$0.17,64.71
2014-12-31,15.5,$-0.45,0.0
2014-09-30,12.07,$-0.51,0.0
2014-06-30,12.82,$-1.18,0.0
2014-03-31,12.12,$-1.29,0.0
2013-12-31,11.35,$-1.40,0.0
2013-09-30,10.45,$-1.45,0.0
2013-06-30,11.55,$-1.69,0.0
2013-03-31,11.0,$-1.62,0.0
2012-12-31,7.41,$-1.50,0.0
2012-09-30,10.68,$-1.37,0.0
2012-06-30,8.07,$-1.20,0.0
2012-03-31,7.92,$-1.22,0.0
2011-12-31,5.6,$-1.19,0.0
2011-09-30,4.85,$-1.10,0.0
2011-06-30,7.27,$-0.98,0.0
2011-03-31,9.47,$-0.67,0.0
2010-12-31,12.85,$-0.41,0.0
2010-09-30,14.77,$-0.25,0.0
2010-06-30,12.1,$-0.49,0.0
2010-03-31,15.21,$-0.83,0.0
2009-12-31,9.32,$-1.10,0.0
