Atara Biotherapeutics PE Ratio Historical Data,Atara Biotherapeutics PE Ratio Historical Data,Atara Biotherapeutics PE Ratio Historical Data,Atara Biotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.74,,0.0
2024-12-31,13.31,$-12.97,0.0
2024-09-30,8.13,$-25.78,0.0
2024-06-30,8.5,$-39.35,0.0
2024-03-31,17.35,$-53.25,0.0
2023-12-31,12.82,$-65.50,0.0
2023-09-30,37.0,$-69.50,0.0
2023-06-30,40.25,$-73.50,0.0
2023-03-31,72.5,$-52.00,0.0
2022-12-31,82.0,$-55.75,0.0
2022-09-30,94.5,$-61.75,0.0
2022-06-30,194.75,$-63.75,0.0
2022-03-31,232.25,$-91.00,0.0
2021-12-31,394.0,$-90.75,0.0
2021-09-30,447.5,$-90.50,0.0
2021-06-30,388.75,$-91.00,0.0
2021-03-31,359.0,$-96.75,0.0
2020-12-31,490.75,$-105.25,0.0
2020-09-30,324.0,$-115.50,0.0
2020-06-30,364.25,$-125.25,0.0
2020-03-31,212.75,$-136.75,0.0
2019-12-31,411.75,$-142.75,0.0
2019-09-30,353.0,$-152.50,0.0
2019-06-30,502.75,$-152.00,0.0
2019-03-31,993.75,$-140.75,0.0
2018-12-31,868.5,$-131.00,0.0
2018-09-30,1033.75,$-116.00,0.0
2018-06-30,918.75,$-109.25,0.0
2018-03-31,975.0,$-104.00,0.0
2017-12-31,452.5,$-99.75,0.0
2017-09-30,413.75,$-86.75,0.0
2017-06-30,350.0,$-83.25,0.0
2017-03-31,513.75,$-76.25,0.0
2016-12-31,355.0,$-68.75,0.0
2016-09-30,534.75,$-71.75,0.0
2016-06-30,562.75,$-60.50,0.0
2016-03-31,475.75,$-59.50,0.0
2015-12-31,660.25,$-55.50,0.0
2015-09-30,786.0,$-53.50,0.0
