Context Therapeutics PE Ratio Historical Data,Context Therapeutics PE Ratio Historical Data,Context Therapeutics PE Ratio Historical Data,Context Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.77,,0.0
2024-09-30,1.96,$-0.91,0.0
2024-06-30,2.01,$-1.06,0.0
2024-03-31,1.38,$-1.33,0.0
2023-12-31,1.13,$-1.50,0.0
2023-09-30,1.51,$-1.30,0.0
2023-06-30,1.6,$-1.17,0.0
2023-03-31,0.56,$-1.11,0.0
2022-12-31,0.65,$-0.93,0.0
2022-09-30,1.11,$-0.71,0.0
