First Hawaiian PE Ratio Historical Data,First Hawaiian PE Ratio Historical Data,First Hawaiian PE Ratio Historical Data,First Hawaiian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.26,,13.55
2024-12-31,25.95,$1.79,14.5
2024-09-30,22.93,$1.75,13.1
2024-06-30,20.34,$1.73,11.76
2024-03-31,21.26,$1.74,12.22
2023-12-31,21.87,$1.84,11.89
2023-09-30,17.04,$2.09,8.15
2023-06-30,16.78,$2.17,7.73
2023-03-31,18.92,$2.14,8.84
2022-12-31,23.65,$2.07,11.43
2022-09-30,22.15,$1.89,11.72
2022-06-30,20.23,$1.85,10.93
2022-03-31,24.58,$2.06,11.93
2021-12-31,23.87,$2.05,11.64
2021-09-30,25.4,$2.08,12.21
2021-06-30,24.29,$2.08,11.68
2021-03-31,23.24,$1.56,14.9
2020-12-31,19.84,$1.42,13.97
2020-09-30,12.03,$1.47,8.18
2020-06-30,14.11,$1.53,9.22
2020-03-31,13.31,$1.92,6.93
2019-12-31,23.01,$2.14,10.75
2019-09-30,21.1,$2.06,10.24
2019-06-30,20.23,$2.00,10.12
2019-03-31,20.17,$1.96,10.29
2018-12-31,17.27,$1.93,8.95
2018-09-30,20.64,$1.57,13.14
2018-06-30,21.87,$1.49,14.68
2018-03-31,20.8,$1.40,14.85
2017-12-31,21.62,$1.32,16.38
2017-09-30,22.27,$1.65,13.5
2017-06-30,22.33,$1.61,13.87
