Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,111.78,,25.12
2024-12-31,105.63,$4.45,23.74
2024-09-30,107.95,$5.26,20.52
2024-06-30,108.29,$4.80,22.56
2024-03-31,131.4,$4.62,28.44
2023-12-31,120.94,$4.89,24.73
2023-09-30,111.3,$2.26,49.25
2023-06-30,144.1,$2.41,59.79
2023-03-31,127.66,$2.14,59.65
2022-12-31,125.74,$1.10,114.31
2022-09-30,102.91,$1.32,77.96
2022-06-30,103.18,$1.09,94.66
2022-03-31,125.34,$1.03,121.69
2021-12-31,124.26,$1.90,65.4
2021-09-30,142.88,$3.89,36.73
2021-06-30,156.75,$4.36,35.95
2021-03-31,155.8,$2.69,57.92
2020-12-31,149.75,$-0.71,0.0
2020-09-30,132.09,$-0.76,0.0
2020-06-30,115.6,$0.16,722.52
2020-03-31,97.7,$1.81,53.98
2019-12-31,144.33,$5.47,26.38
2019-09-30,132.15,$-0.49,0.0
2019-06-30,113.14,$-1.78,0.0
2019-03-31,122.46,$-1.53,0.0
2018-12-31,99.28,$-1.88,0.0
2018-09-30,125.54,$8.70,14.43
2018-06-30,106.22,$8.39,12.66
2018-03-31,103.71,$8.39,12.36
2017-12-31,114.51,$9.01,12.71
2017-09-30,110.9,$3.18,34.87
2017-06-30,121.35,$3.48,34.87
2017-03-31,115.19,$2.42,47.6
2016-12-31,97.16,$1.47,66.1
2016-09-30,122.13,$1.28,95.41
2016-06-30,112.86,$0.61,185.02
2016-03-31,99.77,$-0.14,0.0
2015-12-31,95.77,$0.36,266.03
2015-09-30,87.5,$1.13,77.43
2015-06-30,101.51,$1.98,51.27
2015-03-31,109.0,$3.92,27.81
2014-12-31,105.0,$4.19,25.06
2014-09-30,92.91,$4.64,20.02
2014-06-30,95.76,$4.58,20.91
2014-03-31,87.02,$4.44,19.6
2013-12-31,85.54,$4.43,19.31
2013-09-30,75.24,$3.95,19.05
2013-06-30,68.48,$4.07,16.82
2013-03-31,68.55,$4.40,15.58
2012-12-31,60.58,$4.29,14.12
2012-09-30,61.29,$4.28,14.32
2012-06-30,58.18,$4.27,13.63
2012-03-31,57.94,$4.11,14.1
2011-12-31,48.01,$4.02,11.94
2011-09-30,48.07,$3.33,14.43
2011-06-30,56.81,$3.28,17.32
2011-03-31,54.41,$3.04,17.9
2010-12-31,48.25,$2.97,16.25
2010-09-30,47.03,$3.53,13.32
2010-06-30,48.58,$3.27,14.86
2010-03-31,53.21,$3.43,15.51
2009-12-31,53.13,$3.33,15.95
