OneConnect Financial Technology PE Ratio Historical Data,OneConnect Financial Technology PE Ratio Historical Data,OneConnect Financial Technology PE Ratio Historical Data,OneConnect Financial Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.7,,60.91
2024-09-30,2.8,$0.11,25.45
2024-06-30,1.58,$-0.13,0.0
2024-03-31,2.22,$-1.38,0.0
2023-12-31,3.23,$-1.42,0.0
2023-09-30,3.13,$-1.79,0.0
2023-06-30,3.3,$-1.94,0.0
2023-03-31,5.32,$-2.62,0.0
2022-12-31,5.31,$-3.58,0.0
2022-09-30,7.22,$-4.40,0.0
2022-06-30,17.1,$-5.00,0.0
2022-03-31,14.1,$-5.40,0.0
2021-12-31,24.7,$-5.30,0.0
2021-09-30,41.0,$-5.30,0.0
2021-06-30,120.2,$-5.20,0.0
2021-03-31,147.8,$-0.70,0.0
2020-12-31,197.1,$-1.10,0.0
2020-09-30,213.0,$-2.40,0.0
