Trio Petroleum PE Ratio Historical Data,Trio Petroleum PE Ratio Historical Data,Trio Petroleum PE Ratio Historical Data,Trio Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.39,,0.0
2025-01-31,1.76,$-2.80,0.0
2024-10-31,0.13,$-3.80,0.0
2024-07-31,0.26,$-4.40,0.0
2024-04-30,0.32,$-5.20,0.0
2024-01-31,0.16,$-5.60,0.0
