Moleculin Biotech PE Ratio Historical Data,Moleculin Biotech PE Ratio Historical Data,Moleculin Biotech PE Ratio Historical Data,Moleculin Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.09,,0.0
2024-09-30,2.84,$-6.57,0.0
2024-06-30,3.52,$-6.57,0.0
2024-03-31,5.91,$-7.87,0.0
2023-12-31,12.88,$-10.05,0.0
2023-09-30,6.41,$-13.64,0.0
2023-06-30,8.68,$-15.29,0.0
2023-03-31,14.4,$-15.89,0.0
2022-12-31,15.9,$-15.29,0.0
2022-09-30,15.9,$-13.04,0.0
2022-06-30,21.75,$-10.79,0.0
2022-03-31,26.7,$-9.45,0.0
2021-12-31,27.9,$-8.85,0.0
2021-09-30,45.0,$-7.50,0.0
2021-06-30,55.05,$-10.64,0.0
2021-03-31,61.2,$-23.68,0.0
2020-12-31,71.74,$-22.48,0.0
2020-09-30,73.14,$-29.68,0.0
2020-06-30,87.1,$-32.38,0.0
2020-03-31,54.86,$-19.79,0.0
2019-12-31,82.36,$-30.58,0.0
2019-09-30,99.9,$-32.38,0.0
2019-06-30,112.5,$-31.48,0.0
2019-03-31,72.9,$-46.77,0.0
2018-12-31,93.6,$-41.37,0.0
2018-09-30,144.0,$-46.77,0.0
2018-06-30,161.1,$-52.16,0.0
2018-03-31,162.0,$-51.26,0.0
2017-12-31,167.4,$-45.87,0.0
2017-09-30,215.1,$-42.27,0.0
2017-06-30,168.3,$-40.47,0.0
2017-03-31,105.3,$-33.28,0.0
