American Axle & Manufacturing Holdings PE Ratio Historical Data,American Axle & Manufacturing Holdings PE Ratio Historical Data,American Axle & Manufacturing Holdings PE Ratio Historical Data,American Axle & Manufacturing Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.64,,16.57
2024-12-31,5.83,$0.28,20.82
2024-09-30,6.18,$0.24,25.75
2024-06-30,6.99,$0.01,699.0
2024-03-31,7.36,$-0.07,0.0
2023-12-31,8.81,$-0.28,0.0
2023-09-30,7.26,$-0.01,0.0
2023-06-30,8.27,$0.36,22.97
2023-03-31,7.81,$0.48,16.27
2022-12-31,7.82,$0.53,14.75
2022-09-30,6.83,$0.01,683.0
2022-06-30,7.53,$-0.23,0.0
2022-03-31,7.76,$-0.29,0.0
2021-12-31,9.33,$0.03,311.0
2021-09-30,8.81,$0.74,11.91
2021-06-30,10.35,$1.75,5.91
2021-03-31,9.66,$-0.26,0.0
2020-12-31,8.34,$-5.04,0.0
2020-09-30,5.77,$-9.38,0.0
2020-06-30,7.6,$-11.47,0.0
2020-03-31,3.61,$-9.14,0.0
2019-12-31,10.76,$-4.33,0.0
2019-09-30,8.22,$-3.53,0.0
2019-06-30,12.76,$-1.88,0.0
2019-03-31,14.31,$-1.03,0.0
2018-12-31,11.1,$-0.61,0.0
2018-09-30,17.44,$3.56,4.9
2018-06-30,15.56,$3.76,4.14
2018-03-31,15.22,$3.05,4.99
2017-12-31,17.03,$3.26,5.22
2017-09-30,17.58,$2.92,6.02
2017-06-30,15.6,$2.95,5.29
2017-03-31,18.78,$3.26,5.76
2016-12-31,19.3,$3.05,6.33
2016-09-30,17.22,$3.27,5.27
2016-06-30,14.48,$3.27,4.43
2016-03-31,15.39,$3.12,4.93
2015-12-31,18.94,$3.02,6.27
2015-09-30,19.94,$2.38,8.38
2015-06-30,20.91,$2.23,9.38
2015-03-31,25.83,$2.15,12.01
2014-12-31,22.59,$1.91,11.83
2014-09-30,16.77,$2.13,7.87
2014-06-30,18.89,$1.91,9.89
2014-03-31,18.52,$1.58,11.72
2013-12-31,20.45,$1.24,16.49
2013-09-30,19.72,$5.06,3.9
2013-06-30,18.63,$4.54,4.1
2013-03-31,13.65,$4.26,3.2
2012-12-31,11.2,$4.84,2.31
2012-09-30,11.27,$1.04,10.84
2012-06-30,10.49,$1.48,7.09
2012-03-31,11.71,$2.07,5.66
2011-12-31,9.89,$1.89,5.23
2011-09-30,7.63,$1.95,3.91
2011-06-30,11.38,$2.14,5.32
2011-03-31,12.59,$1.83,6.88
2010-12-31,12.86,$1.55,8.3
2010-09-30,9.02,$1.88,4.8
2010-06-30,7.33,$1.71,4.29
2010-03-31,9.98,$-3.83,0.0
2009-12-31,8.02,$-4.64,0.0
