AerSale PE Ratio Historical Data,AerSale PE Ratio Historical Data,AerSale PE Ratio Historical Data,AerSale PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.39,,139.83
2024-12-31,6.3,$0.06,105.0
2024-09-30,5.05,$0.01,0.0
2024-06-30,6.92,$-0.00,0.0
2024-03-31,7.18,$-0.01,0.0
2023-12-31,12.7,$-0.13,0.0
2023-09-30,14.94,$0.09,166.0
2023-06-30,14.7,$-0.08,0.0
2023-03-31,17.22,$0.47,36.64
2022-12-31,16.22,$0.79,20.53
2022-09-30,18.54,$0.83,22.34
2022-06-30,14.51,$0.96,15.11
2022-03-31,15.72,$0.87,18.07
2021-12-31,17.74,$0.78,22.74
2021-09-30,17.0,$0.57,29.82
2021-06-30,12.46,$0.61,20.43
2021-03-31,12.29,$0.23,53.43
2020-12-31,13.41,0,0.0
2020-09-30,10.24,0,0.0
2020-06-30,10.27,0,0.0
2020-03-31,10.05,0,0.0
2019-12-31,10.18,0,0.0
