Star Equity Holdings PE Ratio Historical Data,Star Equity Holdings PE Ratio Historical Data,Star Equity Holdings PE Ratio Historical Data,Star Equity Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.28,,0.0
2024-09-30,4.12,$-2.57,0.0
2024-06-30,4.54,$-2.79,0.0
2024-03-31,4.44,$6.50,0.68
2023-12-31,5.23,$7.35,0.71
2023-09-30,4.9,$7.40,0.66
2023-06-30,5.25,$7.65,0.69
2023-03-31,4.65,$-0.95,0.0
2022-12-31,4.27,$-2.60,0.0
2022-09-30,4.98,$-7.70,0.0
2022-06-30,4.65,$-9.50,0.0
2022-03-31,5.65,$-11.15,0.0
2021-12-31,12.75,$-4.00,0.0
2021-09-30,13.59,$0.20,67.94
2021-06-30,15.5,$0.40,38.75
2021-03-31,15.6,$-0.20,0.0
2020-12-31,17.95,$-14.05,0.0
2020-09-30,12.45,$-15.70,0.0
2020-06-30,14.0,$-17.05,0.0
2020-03-31,19.85,$-17.10,0.0
2019-12-31,13.0,$-12.75,0.0
2019-09-30,22.4,$-14.65,0.0
2019-06-30,34.55,$-14.45,0.0
2019-03-31,45.59,$-12.50,0.0
2018-12-31,28.5,$1.50,19.0
2018-09-30,75.0,$-49.50,0.0
2018-06-30,75.32,$-68.00,0.0
2018-03-31,73.25,$-74.00,0.0
2017-12-31,118.79,$-89.00,0.0
2017-09-30,155.66,$-29.00,0.0
2017-06-30,180.13,$-7.50,0.0
2017-03-31,233.07,$2.00,116.54
2016-12-31,217.61,$36.00,6.04
2016-09-30,219.68,$32.50,6.76
2016-06-30,219.64,$81.50,2.69
2016-03-31,209.59,$82.00,2.56
2015-12-31,242.12,$55.00,4.4
2015-09-30,155.18,$55.50,2.8
2015-06-30,177.86,$9.50,18.72
2015-03-31,183.74,$8.50,21.62
2014-12-31,174.45,$6.00,29.08
2014-09-30,155.28,$6.00,25.88
2014-06-30,138.51,$10.50,13.19
2014-03-31,131.44,$7.00,18.78
2013-12-31,139.69,$1.00,139.69
2013-09-30,93.83,$-1.50,0.0
2013-06-30,90.86,$-11.00,0.0
2013-03-31,93.83,$-12.00,0.0
2012-12-31,76.33,$-9.00,0.0
2012-09-30,77.08,$-16.00,0.0
2012-06-30,82.29,$-13.00,0.0
2012-03-31,78.2,$-11.00,0.0
2011-12-31,72.98,$-8.50,0.0
2011-09-30,82.29,$-2.50,0.0
2011-06-30,100.91,$-6.50,0.0
2011-03-31,93.09,$-14.00,0.0
2010-12-31,78.2,$-16.00,0.0
2010-09-30,75.96,$-14.00,0.0
2010-06-30,77.45,$-11.50,0.0
2010-03-31,76.33,$-1.50,0.0
2009-12-31,78.2,$1.50,52.13
