Forrester Research PE Ratio Historical Data,Forrester Research PE Ratio Historical Data,Forrester Research PE Ratio Historical Data,Forrester Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.62,,0.0
2024-12-31,15.67,$-0.30,0.0
2024-09-30,18.01,$-0.35,0.0
2024-06-30,17.08,$0.08,213.5
2024-03-31,21.56,$0.03,718.67
2023-12-31,26.81,$0.17,157.71
2023-09-30,28.9,$0.11,262.73
2023-06-30,29.09,$0.26,111.88
2023-03-31,32.35,$0.70,46.21
2022-12-31,35.76,$1.13,31.65
2022-09-30,36.01,$1.63,22.09
2022-06-30,47.84,$1.58,30.28
2022-03-31,56.42,$1.29,43.74
2021-12-31,58.73,$1.28,45.88
2021-09-30,49.26,$1.00,49.26
2021-06-30,45.8,$0.57,80.35
2021-03-31,42.48,$0.77,55.17
2020-12-31,41.9,$0.53,79.06
2020-09-30,32.79,$0.66,49.68
2020-06-30,32.04,$0.71,45.13
2020-03-31,29.23,$0.16,182.69
2019-12-31,41.7,$-0.54,0.0
2019-09-30,32.14,$-0.51,0.0
2019-06-30,47.03,$-0.15,0.0
2019-03-31,48.35,$0.20,241.75
2018-12-31,44.7,$0.83,53.86
2018-09-30,45.69,$0.65,70.29
2018-06-30,41.58,$0.66,63.0
2018-03-31,40.9,$0.57,71.75
2017-12-31,43.4,$0.83,52.29
2017-09-30,40.92,$1.03,39.73
2017-06-30,38.1,$0.98,38.88
2017-03-31,38.5,$1.05,36.67
2016-12-31,41.39,$0.95,43.57
2016-09-30,37.32,$0.75,49.76
2016-06-30,35.21,$0.83,42.42
2016-03-31,31.95,$0.73,43.77
2015-12-31,26.92,$0.66,40.78
2015-09-30,29.56,$0.74,39.95
2015-06-30,33.69,$0.65,51.82
2015-03-31,34.23,$0.57,60.06
2014-12-31,36.47,$0.58,62.88
2014-09-30,34.01,$0.49,69.42
2014-06-30,34.81,$0.43,80.96
2014-03-31,32.8,$0.46,71.31
2013-12-31,34.85,$0.56,62.24
2013-09-30,33.34,$0.67,49.76
2013-06-30,33.14,$1.02,32.49
2013-03-31,28.47,$1.10,25.88
2012-12-31,23.98,$1.14,21.03
2012-09-30,25.61,$1.31,19.55
2012-06-30,30.0,$1.11,27.03
2012-03-31,28.58,$1.01,28.3
2011-12-31,29.81,$1.00,29.81
2011-09-30,28.56,$0.80,35.69
2011-06-30,28.95,$0.71,40.78
2011-03-31,33.63,$0.77,43.68
2010-12-31,31.0,$0.89,34.83
2010-09-30,26.58,$1.01,26.31
2010-06-30,24.31,$1.04,23.38
2010-03-31,24.2,$1.01,23.96
2009-12-31,20.85,$0.87,23.96
