Genasys PE Ratio Historical Data,Genasys PE Ratio Historical Data,Genasys PE Ratio Historical Data,Genasys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.47,,0.0
2024-12-31,2.6,$-0.66,0.0
2024-09-30,3.56,$-0.72,0.0
2024-06-30,2.12,$-0.73,0.0
2024-03-31,2.37,$-0.62,0.0
2023-12-31,2.03,$-0.55,0.0
2023-09-30,2.01,$-0.50,0.0
2023-06-30,2.6,$-0.61,0.0
2023-03-31,2.95,$-0.59,0.0
2022-12-31,3.7,$-0.51,0.0
2022-09-30,2.77,$-0.45,0.0
2022-06-30,3.25,$-0.05,0.0
2022-03-31,2.75,$-0.02,0.0
2021-12-31,3.98,0,0.0
2021-09-30,5.18,$0.02,259.0
2021-06-30,5.48,$0.27,20.3
2021-03-31,6.69,$0.30,22.3
2020-12-31,6.52,$0.30,21.73
2020-09-30,6.15,$0.34,18.09
2020-06-30,4.86,$0.07,69.43
2020-03-31,3.27,$0.05,65.4
2019-12-31,3.27,$0.08,40.88
2019-09-30,3.35,$0.09,37.22
2019-06-30,3.29,$0.02,164.5
2019-03-31,2.85,$-0.00,0.0
2018-12-31,2.52,$-0.03,0.0
2018-09-30,3.06,$-0.11,0.0
2018-06-30,2.63,$-0.03,0.0
2018-03-31,2.3,$-0.05,0.0
2017-12-31,2.49,$-0.05,0.0
2017-09-30,2.13,$-0.03,0.0
2017-06-30,1.7,$-0.06,0.0
2017-03-31,1.51,$-0.03,0.0
2016-12-31,1.71,$-0.06,0.0
2016-09-30,1.87,$-0.04,0.0
2016-06-30,1.79,$0.25,7.16
2016-03-31,1.65,$0.24,6.88
2015-12-31,1.96,$0.27,7.24
2015-09-30,1.64,$0.29,5.66
2015-06-30,1.96,$0.04,48.9
2015-03-31,2.31,$0.10,23.1
2014-12-31,2.65,$0.11,24.13
2014-09-30,2.66,$0.10,26.64
2014-06-30,2.02,$0.17,11.91
2014-03-31,2.06,$0.08,25.8
2013-12-31,1.85,$0.05,36.96
2013-09-30,1.43,$0.05,28.5
2013-06-30,1.11,0,0.0
2013-03-31,1.02,$0.04,25.56
2012-12-31,1.08,$0.04,27.03
2012-09-30,1.37,$0.05,27.32
2012-06-30,1.17,$0.01,116.96
2012-03-31,1.51,$-0.02,0.0
2011-12-31,1.46,$0.16,9.15
2011-09-30,1.82,$0.14,12.99
2011-06-30,2.67,$0.17,15.73
2011-03-31,2.74,$0.19,14.43
2010-12-31,2.64,$0.03,88.13
2010-09-30,1.54,$0.10,15.43
2010-06-30,1.23,$0.03,40.95
2010-03-31,1.51,$0.03,50.45
2009-12-31,1.45,$0.05,29.09
