ManpowerGroup PE Ratio Historical Data,ManpowerGroup PE Ratio Historical Data,ManpowerGroup PE Ratio Historical Data,ManpowerGroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,59.07,,19.76
2024-12-31,57.72,$2.99,19.3
2024-09-30,71.77,$0.79,90.85
2024-06-30,68.14,$0.92,74.06
2024-03-31,75.79,$0.97,78.14
2023-12-31,77.58,$1.67,46.45
2023-09-30,70.19,$4.35,16.13
2023-06-30,76.01,$5.88,12.93
2023-03-31,77.38,$6.88,11.25
2022-12-31,78.02,$7.05,11.07
2022-09-30,59.73,$8.12,7.36
2022-06-30,70.55,$7.76,9.09
2022-03-31,85.42,$7.49,11.4
2021-12-31,88.52,$6.92,12.79
2021-09-30,97.11,$6.23,15.59
2021-06-30,106.64,$4.64,22.98
2021-03-31,87.78,$1.52,57.75
2020-12-31,80.04,$0.44,181.92
2020-09-30,64.22,$1.44,44.6
2020-06-30,60.21,$3.68,16.36
2020-03-31,45.69,$6.89,6.63
2019-12-31,83.72,$7.74,10.82
2019-09-30,71.79,$7.95,9.03
2019-06-30,82.32,$7.96,10.34
2019-03-31,69.58,$8.02,8.68
2018-12-31,54.53,$8.59,6.35
2018-09-30,71.44,$9.27,7.71
2018-06-30,71.52,$8.88,8.05
2018-03-31,94.6,$8.43,11.22
2017-12-31,103.65,$8.07,12.84
2017-09-30,96.14,$6.72,14.31
2017-06-30,91.11,$6.55,13.91
2017-03-31,82.93,$6.43,12.9
2016-12-31,71.85,$6.32,11.37
2016-09-30,57.84,$6.11,9.47
2016-06-30,51.5,$5.85,8.8
2016-03-31,64.47,$5.58,11.55
2015-12-31,66.75,$5.43,12.29
2015-09-30,64.28,$5.24,12.27
2015-06-30,70.16,$5.24,13.39
2015-03-31,66.99,$5.26,12.74
2014-12-31,53.01,$5.29,10.02
2014-09-30,54.13,$5.07,10.68
2014-06-30,65.51,$4.64,14.12
2014-03-31,60.51,$4.16,14.55
2013-12-31,65.9,$3.61,18.26
2013-09-30,55.51,$3.04,18.26
2013-06-30,41.82,$2.65,15.78
2013-03-31,42.94,$2.29,18.75
2012-12-31,32.13,$2.48,12.95
2012-09-30,27.55,$2.58,10.68
2012-06-30,27.44,$2.76,9.94
2012-03-31,35.04,$3.12,11.23
2011-12-31,26.44,$3.05,8.67
2011-09-30,24.6,$-2.02,0.0
2011-06-30,39.25,$-2.37,0.0
2011-03-31,45.7,$-2.84,0.0
2010-12-31,45.61,$-3.23,0.0
2010-09-30,37.7,$1.42,26.55
2010-06-30,31.18,$0.16,194.88
2010-03-31,40.9,$0.01,0.0
2009-12-31,39.08,0,0.0
